Company,Date,Market Cap
CTSH,2010-02-15,14030000000.0
CTSH,2010-04-30,15300000000.0
CTSH,2010-07-30,16420000000.000002
CTSH,2010-10-29,19780000000.0
CTSH,2011-02-17,23390000000.0
CTSH,2011-04-29,25220000000.0
CTSH,2011-07-29,21220000000.0
CTSH,2011-10-31,21980000000.0
CTSH,2012-02-17,21560000000.0
CTSH,2012-05-04,21210000000.0
CTSH,2012-08-01,16800000000.0
CTSH,2012-11-02,19860000000.0
CTSH,2013-02-19,23640000000.0
CTSH,2013-05-02,19410000000.0
CTSH,2013-08-02,22150000000.0
CTSH,2013-11-01,26480000000.0
CTSH,2014-02-14,30470000000.0
CTSH,2014-03-10,32130000000.000004
CTSH,2014-05-01,29570000000.0
CTSH,2014-08-01,29960000000.0
CTSH,2014-10-31,29750000000.0
CTSH,2015-02-19,37800000000.0
CTSH,2015-04-30,35740000000.0
CTSH,2015-07-31,38460000000.0
CTSH,2015-10-30,41420000000.0
CTSH,2016-02-19,34049999999.999996
CTSH,2016-04-29,35360000000.0
CTSH,2016-07-29,34890000000.0
CTSH,2016-10-31,31150000000.0
CTSH,2017-02-22,35760000000.0
CTSH,2017-04-28,35480000000.0
CTSH,2017-07-28,40940000000.0
CTSH,2017-10-25,43780000000.0
CTSH,2018-02-22,47990000000.0
CTSH,2018-04-30,47940000000.0
CTSH,2018-07-27,47320000000.0
CTSH,2018-10-23,42510000000.0
CTSH,2019-02-08,42070000000.0
CTSH,2019-04-26,41770000000.0
CTSH,2019-07-26,36670000000.0
CTSH,2019-08-08,1750000000.0
CTSH,2019-10-25,33110000000.0
CTSH,2020-02-07,38180000000.0
CTSH,2020-05-01,30540000000.0
CTSH,2020-07-24,33509999999.999996
CTSH,2020-10-23,39630000000.0
CTSH,2021-02-05,39530000000.0
CTSH,2021-04-30,42400000000.0
CTSH,2021-07-23,36420000000.0
CTSH,2021-10-22,41490000000.0
CTSH,2022-02-11,45810000000.0
CTSH,2022-04-29,42160000000.0
CTSH,2022-07-22,35780000000.0
CTSH,2022-10-28,32390000000.0
CTSH,2023-02-10,33979999999.999996
CTSH,2023-04-28,30300000000.0
CTSH,2023-07-28,33210000000.0
CTSH,2023-10-27,31740000000.0
CTSH,2024-02-09,38380000000.0
CTSH,2024-04-26,33280000000.0
CTSH,2024-10-25,37100000000.0
