Company,Date,Market Cap
CVS,2010-02-22,47580000000.0
CVS,2010-04-27,49350000000.0
CVS,2010-07-21,40690000000.0
CVS,2010-10-26,41810000000.0
CVS,2011-02-11,45190000000.0
CVS,2011-04-29,49110000000.0
CVS,2011-07-29,48880000000.0
CVS,2011-10-31,47290000000.0
CVS,2012-02-10,56240000000.0
CVS,2012-04-25,56130000000.0
CVS,2012-07-31,57570000000.0
CVS,2012-10-31,57850000000.0
CVS,2013-02-08,63040000000.0
CVS,2013-04-24,70500000000.0
CVS,2013-07-31,75530000000.0
CVS,2013-10-31,74110000000.0
CVS,2014-02-04,78170000000.0
CVS,2014-04-25,85630000000.0
CVS,2014-07-31,88430000000.0
CVS,2014-10-30,98070000000.0
CVS,2015-02-03,112670000000.0
CVS,2015-04-24,114620000000.0
CVS,2015-07-29,126440000000.0
CVS,2015-10-23,115110000000.0
CVS,2016-02-03,104760000000.0
CVS,2016-04-26,110460000000.0
CVS,2016-07-26,100060000000.0
CVS,2016-11-01,88990000000.0
CVS,2017-02-03,77400000000.0
CVS,2017-04-26,83540000000.0
CVS,2017-08-01,81020000000.0
CVS,2017-10-31,69420000000.0
CVS,2018-02-09,70400000000.0
CVS,2018-04-25,68860000000.0
CVS,2018-08-01,65250000000.0
CVS,2018-10-31,73750000000.0
CVS,2019-02-19,90640000000.0
CVS,2019-04-23,68800000000.0
CVS,2019-07-30,73520000000.0
CVS,2019-10-29,85720000000.0
CVS,2020-02-12,96180000000.0
CVS,2020-04-27,83000000000.0
CVS,2020-07-27,81890000000.0
CVS,2020-10-28,74050000000.0
CVS,2021-02-08,95700000000.0
CVS,2021-04-27,98890000000.0
CVS,2021-07-28,109920000000.0
CVS,2021-10-27,116280000000.0
CVS,2022-02-02,142930000000.0
CVS,2022-04-27,132250000000.0
CVS,2022-07-27,125860000000.0
CVS,2022-10-26,121840000000.0
CVS,2023-02-01,112350000000.0
CVS,2023-04-26,92640000000.0
CVS,2023-07-26,96460000000.0
CVS,2023-10-25,88190000000.0
CVS,2024-01-31,93590000000.0
CVS,2024-04-24,85080000000.0
CVS,2024-07-31,75890000000.0
CVS,2024-10-30,70960000000.0
