Company,Date,Market Cap
CZR,2015-05-01,1030000000.0
CZR,2016-02-15,1340000000.0
CZR,2016-08-01,2109999999.9999998
CZR,2016-11-01,1730000000.0
CZR,2017-02-01,2300000000.0
CZR,2017-05-01,2850000000.0
CZR,2017-08-01,3030000000.0
CZR,2017-11-01,18170000000.0
CZR,2018-03-01,23930000000.0
CZR,2018-04-30,28280000000.0
CZR,2018-07-30,28850000000.0
CZR,2018-10-30,23370000000.0
CZR,2019-02-19,32080000000.0
CZR,2019-04-30,33210000000.0
CZR,2019-08-01,29820000000.0
CZR,2019-07-29,2300000000.0
CZR,2019-11-01,31350000000.0
CZR,2020-02-21,46480000000.0
CZR,2020-04-15,10940000000.0
CZR,2020-05-06,1410000000.0
CZR,2020-07-31,4990000000.0
CZR,2020-10-30,9330000000.0
CZR,2021-02-22,17640000000.0
CZR,2021-04-30,20420000000.0
CZR,2021-07-29,19180000000.0
CZR,2021-10-29,23400000000.0
CZR,2022-02-17,17540000000.0
CZR,2022-04-28,14450000000.0
CZR,2022-07-28,9630000000.0
CZR,2022-10-27,8910000000.0
CZR,2023-02-16,11230000000.0
CZR,2023-04-27,9340000000.0
CZR,2023-07-27,12440000000.0
CZR,2023-10-26,8359999999.999999
CZR,2024-02-15,9340000000.0
CZR,2024-04-25,8230000000.0
CZR,2024-07-25,7190000000.0
CZR,2024-10-24,9280000000.0
