Company,Date,Market Cap
C,2011-03-31,129090000000.0
C,2011-06-30,121500000000.0
C,2011-09-30,74910000000.0
C,2012-01-31,89970000000.0
C,2012-03-31,107170000000.0
C,2012-06-30,80380000000.0
C,2012-09-30,95950000000.0
C,2013-01-31,128110000000.00002
C,2013-03-31,134620000000.0
C,2013-06-30,145880000000.0
C,2013-09-30,147130000000.0
C,2014-01-31,144020000000.0
C,2014-03-31,144600000000.0
C,2014-06-30,142800000000.0
C,2014-09-30,156990000000.0
C,2015-01-31,142440000000.0
C,2015-03-31,156320000000.0
C,2015-06-30,166260000000.0
C,2015-09-30,147790000000.0
C,2016-01-31,125530000000.0
C,2016-03-31,122530000000.0
C,2016-06-30,123160000000.0
C,2016-09-30,134590000000.0
C,2017-01-31,154690000000.0
C,2017-03-31,164700000000.0
C,2017-06-30,182220000000.0
C,2017-09-30,192320000000.0
C,2018-01-31,201700000000.0
C,2018-03-31,172120000000.0
C,2018-06-30,168410000000.0
C,2018-09-30,175200000000.0
C,2019-01-31,151580000000.0
C,2019-03-31,143880000000.0
C,2019-06-30,158200000000.0
C,2019-09-30,150820000000.0
C,2020-01-31,156740000000.0
C,2020-03-31,87690000000.0
C,2020-06-30,106380000000.0
C,2020-09-30,89750000000.0
C,2021-01-31,121040000000.0
C,2021-03-31,150380000000.0
C,2021-06-30,143400000000.0
C,2021-09-30,139260000000.0
C,2022-01-31,129000000000.0
C,2022-03-31,103700000000.0
C,2022-06-30,89070000000.0
C,2022-09-30,80710000000.0
C,2023-01-31,101500000000.0
C,2023-03-31,91280000000.0
C,2023-06-30,88660000000.0
C,2023-09-30,78720000000.0
C,2024-01-31,107360000000.0
C,2024-03-31,120630000000.0
C,2024-06-30,121070000000.0
C,2024-09-30,118390000000.0
