Company,Date,Market Cap
DHI,2010-01-28,3750000000.0
DHI,2010-04-27,4269999999.9999995
DHI,2010-07-28,3390000000.0
DHI,2010-11-10,3890000000.0
DHI,2011-01-24,4130000000.0
DHI,2011-04-25,3870000000.0
DHI,2011-07-25,3780000000.0
DHI,2011-11-10,3690000000.0
DHI,2012-01-19,4450000000.0
DHI,2012-04-18,4730000000.0
DHI,2012-07-23,6090000000.0
DHI,2012-11-09,6610000000.0
DHI,2013-01-23,7010000000.0
DHI,2013-04-22,7210000000.0
DHI,2013-07-12,7350000000.0
DHI,2013-11-20,6160000000.0
DHI,2014-01-22,7110000000.0
DHI,2014-04-21,7020000000.0
DHI,2014-07-21,8690000000.0
DHI,2014-11-10,8710000000.0
DHI,2015-01-21,8550000000.000001
DHI,2015-04-20,10280000000.0
DHI,2015-07-22,10220000000.0
DHI,2015-11-10,11710000000.0
DHI,2016-01-20,9790000000.0
DHI,2016-04-20,11650000000.0
DHI,2016-07-20,12810000000.0
DHI,2016-11-09,10470000000.0
DHI,2017-01-18,10640000000.0
DHI,2017-04-19,12750000000.0
DHI,2017-07-19,13710000000.0
DHI,2017-11-08,17030000000.000002
DHI,2018-01-24,19490000000.0
DHI,2018-04-23,16410000000.0
DHI,2018-07-23,15790000000.0
DHI,2018-11-07,14140000000.0
DHI,2019-01-23,13930000000.0
DHI,2019-04-24,17420000000.0
DHI,2019-07-24,16239999999.999998
DHI,2019-08-01,1200000000.0
DHI,2019-11-13,20020000000.0
DHI,2020-01-22,21040000000.0
DHI,2020-04-22,14140000000.0
DHI,2020-07-22,23570000000.0
DHI,2020-11-12,26020000000.0
DHI,2021-01-20,27320000000.0
DHI,2021-04-21,33630000000.000004
DHI,2021-07-20,31900000000.0
DHI,2021-11-11,34360000000.0
DHI,2022-01-28,30490000000.0
DHI,2022-04-22,25120000000.0
DHI,2022-07-19,25810000000.0
DHI,2022-11-10,28900000000.0
DHI,2023-01-23,32860000000.0
DHI,2023-04-20,36700000000.0
DHI,2023-11-13,40760000000.0
DHI,2024-01-18,50610000000.0
DHI,2024-04-18,48040000000.0
DHI,2024-07-18,56540000000.0
DHI,2024-11-14,52590000000.0
DHI,2025-01-16,46200000000.0
