Company,Date,Market Cap
DHR,2010-02-12,23270000000.0
DHR,2010-04-16,25920000000.0
DHR,2010-06-14,25750000000.0
DHR,2010-07-16,24410000000.0
DHR,2010-10-15,27410000000.0
DHR,2011-02-11,34020000000.000004
DHR,2011-04-15,35000000000.0
DHR,2011-07-15,36070000000.0
DHR,2011-10-14,31150000000.0
DHR,2012-02-13,35780000000.0
DHR,2012-04-13,37330000000.0
DHR,2012-07-13,35250000000.0
DHR,2012-10-12,38740000000.0
DHR,2013-02-11,41880000000.0
DHR,2013-04-12,42640000000.0
DHR,2013-07-12,47430000000.0
DHR,2013-10-11,48410000000.0
DHR,2014-02-10,52440000000.0
DHR,2014-04-11,50930000000.0
DHR,2014-07-11,54920000000.0
DHR,2014-10-10,50500000000.0
DHR,2015-02-09,59600000000.0
DHR,2015-04-17,59590000000.0
DHR,2015-07-20,60540000000.0
DHR,2015-10-16,60950000000.0
DHR,2016-02-09,58540000000.0
DHR,2016-04-15,64819999999.99999
DHR,2016-07-15,55880000000.0
DHR,2016-10-14,52680000000.0
DHR,2017-02-09,58070000000.0
DHR,2017-04-14,59540000000.0
DHR,2017-07-14,59050000000.0
DHR,2017-10-13,60410000000.0
DHR,2018-02-08,64290000000.00001
DHR,2018-04-13,69330000000.0
DHR,2018-07-13,69420000000.0
DHR,2018-10-12,72460000000.0
DHR,2019-02-07,76220000000.0
DHR,2019-04-12,94240000000.0
DHR,2019-07-12,100450000000.0
DHR,2019-07-26,1810000000.0
DHR,2019-10-18,99130000000.0
DHR,2020-02-06,114170000000.0
DHR,2020-05-01,112140000000.0
DHR,2020-07-17,135460000000.00002
DHR,2020-10-16,161580000000.0
DHR,2021-02-05,167790000000.0
DHR,2021-04-16,173370000000.0
DHR,2021-07-16,203310000000.0
DHR,2021-10-15,215360000000.0
DHR,2022-02-04,205760000000.0
DHR,2022-07-15,186070000000.0
DHR,2022-10-14,184690000000.0
DHR,2023-02-03,196610000000.0
DHR,2023-04-20,183250000000.0
DHR,2023-10-19,153180000000.0
DHR,2024-02-02,182210000000.0
DHR,2024-04-18,175070000000.0
DHR,2024-07-18,176790000000.0
DHR,2024-10-17,196440000000.0
