Company,Date,Market Cap
DIS,2010-02-05,57290000000.0
DIS,2010-05-04,71660000000.0
DIS,2010-08-03,65430000000.00001
DIS,2010-11-16,69910000000.0
DIS,2011-02-01,75730000000.0
DIS,2011-05-03,81410000000.0
DIS,2011-08-02,68620000000.00001
DIS,2011-11-15,65480000000.00001
DIS,2012-01-31,69720000000.0
DIS,2012-05-01,78270000000.0
DIS,2012-07-31,88170000000.0
DIS,2012-11-14,83590000000.0
DIS,2013-01-30,97110000000.0
DIS,2013-05-01,113840000000.0
DIS,2013-07-31,115490000000.0
DIS,2013-11-14,123040000000.0
DIS,2014-01-29,124970000000.0
DIS,2014-04-30,137400000000.0
DIS,2014-07-30,149700000000.0
DIS,2014-11-13,153440000000.0
DIS,2015-01-28,157500000000.0
DIS,2015-04-29,186320000000.0
DIS,2015-07-29,202270000000.0
DIS,2015-11-18,195310000000.0
DIS,2016-02-03,155230000000.0
DIS,2016-05-04,168200000000.0
DIS,2016-08-03,154430000000.0
DIS,2016-11-16,157750000000.0
DIS,2017-02-01,175990000000.0
DIS,2017-05-03,174670000000.0
DIS,2017-08-02,167730000000.0
DIS,2017-11-15,156600000000.0
DIS,2018-01-31,163400000000.0
DIS,2018-05-02,148490000000.0
DIS,2018-08-01,168010000000.0
DIS,2018-11-14,174350000000.0
DIS,2019-01-30,164180000000.0
DIS,2019-05-01,245440000000.0
DIS,2019-07-31,257620000000.0
DIS,2019-11-13,268050000000.0
DIS,2020-01-29,245650000000.0
DIS,2020-04-29,202750000000.0
DIS,2020-07-29,208910000000.0
DIS,2020-11-18,260529999999.99997
DIS,2021-02-03,320270000000.0
DIS,2021-05-05,329790000000.0
DIS,2021-08-04,313600000000.0
DIS,2021-11-17,285970000000.0
DIS,2022-02-02,259660000000.00003
DIS,2022-05-04,211640000000.0
DIS,2022-08-03,198750000000.0
DIS,2022-11-23,180320000000.0
DIS,2023-02-01,199830000000.0
DIS,2023-08-02,157910000000.0
DIS,2023-11-15,171920000000.0
DIS,2024-01-17,165710000000.0
DIS,2024-01-31,176180000000.0
DIS,2024-05-01,201410000000.0
DIS,2024-07-31,169920000000.0
DIS,2024-11-06,179080000000.0
DIS,2025-01-29,204620000000.0
