Company,Date,Market Cap
DOC,2013-08-23,491550000.0
DOC,2013-11-08,475700000.0
DOC,2014-03-17,801710000.0
DOC,2014-05-02,910090000.0
DOC,2014-08-08,1400000000.0
DOC,2014-11-07,2049999999.9999998
DOC,2015-03-09,2850000000.0
DOC,2015-05-01,2850000000.0
DOC,2015-08-07,2710000000.0
DOC,2015-11-02,3290000000.0
DOC,2016-02-22,3150000000.0
DOC,2016-04-29,4540000000.0
DOC,2016-08-01,5310000000.0
DOC,2016-10-28,4630000000.0
DOC,2017-02-17,4230000000.0000005
DOC,2017-04-28,4810000000.0
DOC,2017-07-31,5670000000.0
DOC,2017-10-31,4630000000.0
DOC,2018-02-23,4059999999.9999995
DOC,2018-04-30,4250000000.0
DOC,2018-07-27,4630000000.0
DOC,2018-10-26,4830000000.0
DOC,2019-02-22,5700000000.0
DOC,2019-04-24,5520000000.0
DOC,2019-07-29,5940000000.0
DOC,2019-10-31,7090000000.0
DOC,2020-02-21,7320000000.0
DOC,2020-04-30,5290000000.0
DOC,2020-07-28,5690000000.0
DOC,2020-10-28,5530000000.0
DOC,2021-02-22,6360000000.0
DOC,2021-04-26,7360000000.0
DOC,2021-07-28,8010000000.0
DOC,2021-10-29,7820000000.0
DOC,2022-02-15,7190000000.0
DOC,2022-04-27,7610000000.0
DOC,2022-07-27,6090000000.0
DOC,2022-10-26,5250000000.0
DOC,2023-02-14,6170000000.0
DOC,2023-04-26,4950000000.0
DOC,2023-07-27,5200000000.0
DOC,2023-10-27,3920000000.0
DOC,2024-02-16,4099999999.9999995
DOC,2024-02-07,9780000000.0
DOC,2024-04-24,13110000000.0
DOC,2024-07-24,14520000000.0
DOC,2024-10-23,16170000000.000002
DOC,2025-01-31,14450000000.0
