Company,Date,Market Cap
DPZ,2010-02-23,713310000.0
DPZ,2010-04-27,927570000.0
DPZ,2010-07-15,756110000.0
DPZ,2010-10-12,869400000.0
DPZ,2011-02-21,1030000000.0
DPZ,2011-04-28,1160000000.0
DPZ,2011-07-15,1550000000.0
DPZ,2011-10-09,1550000000.0
DPZ,2012-02-21,1940000000.0
DPZ,2012-04-24,1990000000.0
DPZ,2012-07-17,1820000000.0
DPZ,2012-10-09,2160000000.0
DPZ,2013-02-21,2520000000.0
DPZ,2013-04-23,2870000000.0
DPZ,2013-07-16,3510000000.0
DPZ,2013-10-08,3760000000.0
DPZ,2014-02-18,4019999999.9999995
DPZ,2014-04-24,4179999999.9999995
DPZ,2014-07-15,4040000000.0
DPZ,2014-10-07,4219999999.9999995
DPZ,2015-02-17,5600000000.0
DPZ,2015-04-16,5540000000.0
DPZ,2015-07-09,6240000000.0
DPZ,2015-10-01,5760000000.0
DPZ,2016-02-18,5590000000.0
DPZ,2016-04-21,6920000000.0
DPZ,2016-07-14,6550000000.0
DPZ,2016-10-11,7330000000.0
DPZ,2017-02-21,9080000000.0
DPZ,2017-04-20,8510000000.0
DPZ,2017-07-18,10200000000.0
DPZ,2017-10-05,9010000000.0
DPZ,2018-02-13,8950000000.0
DPZ,2018-04-19,10180000000.0
DPZ,2018-07-12,11680000000.0
DPZ,2018-10-09,11820000000.0
DPZ,2019-02-14,11790000000.0
DPZ,2019-04-17,10900000000.0
DPZ,2019-07-09,11550000000.0
DPZ,2009-10-29,147350000.0
DPZ,2019-10-01,10050000000.0
DPZ,2020-02-13,11060000000.0
DPZ,2020-04-16,14100000000.0
DPZ,2020-07-09,15170000000.0
DPZ,2020-10-01,16820000000.0
DPZ,2021-02-18,14630000000.0
DPZ,2021-04-22,15480000000.0
DPZ,2021-07-15,17870000000.0
DPZ,2021-10-07,17560000000.0
DPZ,2022-02-22,15210000000.0
DPZ,2022-04-21,14090000000.0
DPZ,2022-07-14,14320000000.0
DPZ,2023-02-16,12640000000.0
DPZ,2023-07-17,13680000000.0
DPZ,2023-10-05,12670000000.0
DPZ,2024-02-19,14690000000.0
DPZ,2024-07-11,16550000000.0
DPZ,2024-10-03,14530000000.0
