Company,Date,Market Cap
DRI,2010-03-15,5970000000.0
DRI,2010-05-30,6030000000.0
DRI,2010-09-15,6320000000.0
DRI,2010-12-15,6770000000.0
DRI,2011-03-15,6340000000.0
DRI,2011-05-29,6860000000.0
DRI,2011-09-15,5960000000.0
DRI,2011-12-15,5620000000.0
DRI,2012-03-15,6820000000.0
DRI,2012-05-27,6850000000.0
DRI,2012-09-14,6950000000.0
DRI,2012-12-14,6010000000.0
DRI,2013-03-15,6410000000.0
DRI,2013-05-26,6880000000.0
DRI,2013-09-13,6320000000.0
DRI,2013-12-13,6780000000.0
DRI,2014-03-14,6490000000.0
DRI,2014-05-25,6560000000.0
DRI,2014-12-15,7100000000.0
DRI,2015-03-13,7940000000.0
DRI,2015-05-31,8300000000.000001
DRI,2015-09-15,8970000000.0
DRI,2015-12-15,7570000000.0
DRI,2016-03-15,8470000000.000001
DRI,2016-05-29,8310000000.000001
DRI,2016-09-15,7650000000.0
DRI,2016-12-15,9410000000.0
DRI,2017-03-15,9430000000.0
DRI,2017-05-28,11030000000.0
DRI,2017-09-15,10370000000.0
DRI,2017-12-15,10920000000.0
DRI,2018-03-15,11590000000.0
DRI,2018-05-27,10860000000.0
DRI,2018-09-14,14780000000.0
DRI,2018-12-14,12750000000.0
DRI,2019-03-15,13610000000.0
DRI,2019-05-26,14790000000.0
DRI,2019-09-13,15610000000.0
DRI,2019-12-16,14100000000.0
DRI,2020-03-16,5950000000.0
DRI,2020-05-31,9980000000.0
DRI,2020-09-15,12160000000.0
DRI,2020-12-15,14910000000.0
DRI,2021-03-15,19130000000.0
DRI,2021-05-30,18730000000.0
DRI,2021-09-15,19340000000.0
DRI,2021-12-15,19030000000.0
DRI,2022-05-29,15620000000.0
DRI,2022-09-15,15960000000.0
DRI,2022-12-15,17390000000.0
DRI,2023-03-15,17870000000.0
DRI,2023-05-28,19530000000.0
DRI,2023-09-15,18050000000.0
DRI,2023-12-15,19400000000.0
DRI,2024-03-15,20520000000.0
DRI,2024-05-26,17540000000.0
DRI,2024-09-16,18820000000.0
DRI,2024-12-16,19630000000.0
