Company,Date,Market Cap
DTE,2010-01-31,6960000000.0
DTE,2010-03-31,7510000000.0
DTE,2010-06-30,7700000000.0
DTE,2010-09-30,7770000000.0
DTE,2011-01-31,7840000000.0
DTE,2011-03-31,8289999999.999999
DTE,2011-06-30,8470000000.000001
DTE,2011-09-30,8300000000.000001
DTE,2012-01-31,9010000000.0
DTE,2012-03-31,9360000000.0
DTE,2012-06-30,10190000000.0
DTE,2012-09-30,10310000000.0
DTE,2013-01-31,10920000000.0
DTE,2013-03-31,11890000000.0
DTE,2013-06-30,11720000000.0
DTE,2013-09-30,11670000000.0
DTE,2014-01-31,12080000000.0
DTE,2014-03-31,13150000000.0
DTE,2014-06-30,13780000000.0
DTE,2014-09-30,13470000000.0
DTE,2015-01-30,15890000000.0
DTE,2015-03-31,14470000000.0
DTE,2015-06-30,13400000000.0
DTE,2015-09-30,14420000000.0
DTE,2016-01-29,15260000000.0
DTE,2016-03-31,16270000000.0
DTE,2016-06-30,17790000000.0
DTE,2016-09-30,16809999999.999998
DTE,2017-01-31,17700000000.0
DTE,2017-03-31,18320000000.0
DTE,2017-06-30,18980000000.0
DTE,2017-09-30,19260000000.0
DTE,2018-01-31,18950000000.0
DTE,2018-03-31,18950000000.0
DTE,2018-06-30,18840000000.0
DTE,2018-09-30,19850000000.0
DTE,2019-01-25,20760000000.0
DTE,2019-03-31,22850000000.0
DTE,2019-06-30,23440000000.0
DTE,2019-05-08,710680000.0
DTE,2019-09-30,24380000000.0
DTE,2020-01-24,25520000000.0
DTE,2024-03-31,23210000000.0
DTE,2024-09-30,26590000000.0
