Company,Date,Market Cap
DUK,2012-07-02,10380000000.0
DUK,2012-08-03,48300000000.0
DUK,2012-11-05,45110000000.0
DUK,2013-02-25,48700000000.0
DUK,2013-05-06,51450000000.0
DUK,2013-08-05,50380000000.0
DUK,2013-11-05,51150000000.0
DUK,2014-02-25,50180000000.0
DUK,2014-05-06,51680000000.0
DUK,2014-08-04,51070000000.0
DUK,2014-11-04,58160000000.0
DUK,2015-02-24,56500000000.0
DUK,2015-05-05,52730000000.0
DUK,2015-08-04,50880000000.0
DUK,2015-11-03,49730000000.0
DUK,2016-01-31,51830000000.0
DUK,2016-03-31,55580000000.0
DUK,2016-06-30,59100000000.0
DUK,2016-09-30,55140000000.0
DUK,2017-01-31,54950000000.0
DUK,2017-03-31,57400000000.0
DUK,2017-06-30,58510000000.0
DUK,2017-09-30,58740000000.0
DUK,2018-01-31,54960000000.0
DUK,2018-03-31,54310000000.0
DUK,2018-07-31,58140000000.0
DUK,2018-10-31,58910000000.0
DUK,2019-01-31,63820000000.0
DUK,2019-04-30,66340000000.0
DUK,2019-07-31,63180000000.0
DUK,2019-10-31,68720000000.0
DUK,2020-01-31,71590000000.0
DUK,2020-04-30,62210000000.0
DUK,2020-07-31,62320000000.0
DUK,2020-10-31,67790000000.00001
DUK,2021-01-31,72250000000.0
DUK,2021-04-30,77450000000.0
DUK,2021-07-31,80870000000.0
DUK,2021-10-31,78480000000.0
DUK,2022-01-31,80830000000.0
DUK,2022-04-30,84810000000.0
DUK,2022-07-31,84640000000.0
DUK,2022-10-31,71750000000.0
DUK,2023-01-31,78890000000.0
DUK,2023-04-30,76200000000.0
DUK,2024-04-30,75830000000.0
DUK,2024-07-31,84380000000.0
DUK,2024-10-31,89040000000.0
