Company,Date,Market Cap
DVA,2010-01-29,6170000000.0
DVA,2010-04-29,6650000000.0
DVA,2010-07-30,5880000000.0
DVA,2010-10-29,6970000000.0
DVA,2011-01-31,7090000000.0
DVA,2011-04-29,8410000000.0
DVA,2011-07-29,7800000000.0
DVA,2011-10-31,6540000000.0
DVA,2012-01-31,7670000000.0
DVA,2012-04-27,8380000000.000001
DVA,2012-07-27,9330000000.0
DVA,2012-10-26,10590000000.0
DVA,2013-01-31,12180000000.0
DVA,2013-04-30,12550000000.0
DVA,2013-07-31,12370000000.0
DVA,2013-09-09,11910000000.0
DVA,2013-10-31,11960000000.0
DVA,2014-01-31,13840000000.0
DVA,2014-04-28,14830000000.0
DVA,2014-07-29,15320000000.0
DVA,2014-10-31,16780000000.000002
DVA,2015-01-30,16120000000.000002
DVA,2015-04-30,17440000000.0
DVA,2015-07-31,17030000000.000002
DVA,2015-10-30,16350000000.000002
DVA,2016-01-29,13830000000.0
DVA,2016-04-29,15260000000.0
DVA,2016-08-05,15920000000.0
DVA,2016-10-31,11570000000.0
DVA,2017-01-31,12410000000.0
DVA,2017-04-28,13430000000.0
DVA,2017-07-28,12520000000.0
DVA,2017-11-03,10980000000.0
DVA,2018-01-31,14200000000.0
DVA,2018-04-30,10960000000.0
DVA,2018-07-31,11730000000.0
DVA,2018-11-02,11230000000.0
DVA,2019-01-31,9340000000.0
DVA,2019-05-03,9480000000.0
DVA,2019-07-31,9590000000.0
DVA,2019-11-01,7720000000.0
DVA,2020-01-31,10030000000.0
DVA,2020-05-01,9320000000.0
DVA,2020-07-29,11140000000.0
DVA,2020-10-28,9660000000.0
DVA,2021-01-29,12840000000.0
DVA,2021-04-26,12040000000.0
DVA,2021-07-30,12600000000.0
DVA,2021-10-22,11780000000.0
DVA,2022-01-31,10440000000.0
DVA,2022-04-29,10250000000.0
DVA,2022-10-27,8720000000.0
DVA,2023-01-31,7450000000.0
DVA,2023-05-05,8020000000.0
DVA,2023-08-01,9350000000.0
DVA,2023-11-03,7250000000.0
DVA,2024-01-31,9490000000.0
DVA,2024-04-26,11710000000.0
DVA,2024-08-02,11710000000.0
DVA,2024-10-25,12870000000.0
