Company,Date,Market Cap
DVN,2010-02-15,29970000000.0
DVN,2010-04-30,30090000000.0
DVN,2010-07-30,27180000000.0
DVN,2010-10-28,27960000000.0
DVN,2011-02-10,37100000000.0
DVN,2011-04-25,37310000000.0
DVN,2011-07-22,35130000000.0
DVN,2011-10-21,26020000000.0
DVN,2012-02-09,26760000000.0
DVN,2012-04-18,26970000000.0
DVN,2012-07-18,23760000000.0
DVN,2012-10-24,23800000000.0
DVN,2013-02-06,23590000000.0
DVN,2013-04-24,21690000000.0
DVN,2013-07-18,23050000000.0
DVN,2013-10-22,26600000000.0
DVN,2014-02-12,24920000000.0
DVN,2014-04-23,29090000000.0
DVN,2014-07-23,32110000000.0
DVN,2014-10-22,23990000000.0
DVN,2015-02-11,26560000000.0
DVN,2015-04-22,27060000000.0
DVN,2015-07-22,21020000000.0
DVN,2015-10-21,18040000000.0
DVN,2016-02-10,9550000000.0
DVN,2016-04-20,18210000000.0
DVN,2016-07-20,19880000000.0
DVN,2016-10-19,22490000000.0
DVN,2017-02-08,23110000000.0
DVN,2017-04-19,20630000000.0
DVN,2017-07-19,17079999999.999998
DVN,2017-10-18,18510000000.0
DVN,2018-02-07,19340000000.0
DVN,2018-04-18,18890000000.0
DVN,2018-07-18,22260000000.0
DVN,2018-10-17,16860000000.0
DVN,2019-02-06,11740000000.0
DVN,2019-04-17,13790000000.0
DVN,2019-07-24,10720000000.0
DVN,2019-10-23,8180000000.0
DVN,2020-02-05,8960000000.0
DVN,2020-04-22,3730000000.0
DVN,2020-07-22,4240000000.0
DVN,2020-10-21,3300000000.0
DVN,2021-02-03,12250000000.0
DVN,2021-04-21,14330000000.0
DVN,2021-07-21,17830000000.0
DVN,2021-10-20,27700000000.0
DVN,2022-02-02,35360000000.0
DVN,2022-04-20,42640000000.0
DVN,2022-07-20,37770000000.0
DVN,2022-10-19,47030000000.0
DVN,2023-02-01,40480000000.0
DVN,2023-04-26,33500000000.0
DVN,2023-07-19,32430000000.0
DVN,2024-02-14,26570000000.0
DVN,2024-04-18,32500000000.0
DVN,2024-07-24,28540000000.0
DVN,2024-10-23,25950000000.0
