Company,Date,Market Cap
D,2010-02-01,22650000000.0
D,2010-03-31,24500000000.0
D,2010-06-30,22820000000.0
D,2010-09-30,25340000000.0
D,2011-01-31,25290000000.0
D,2011-03-31,25740000000.0
D,2011-06-30,27480000000.0
D,2011-09-30,28920000000.0
D,2012-01-31,28530000000.0
D,2012-03-31,29270000000.0
D,2012-06-30,30960000000.0
D,2012-09-30,30420000000.0
D,2013-01-31,31180000000.0
D,2013-03-31,33610000000.0
D,2013-06-30,32900000000.0
D,2013-09-30,36270000000.0
D,2014-01-31,39490000000.0
D,2014-03-31,41290000000.0
D,2014-06-30,41670000000.0
D,2014-09-30,40340000000.0
D,2015-01-31,45220000000.0
D,2015-03-31,41770000000.0
D,2015-06-30,39740000000.0
D,2015-09-30,41900000000.0
D,2016-01-31,43040000000.0
D,2016-04-15,45010000000.0
D,2016-07-15,48520000000.0
D,2016-10-15,45610000000.0
D,2017-02-15,45460000000.0
D,2017-04-14,48770000000.0
D,2017-07-14,49190000000.0
D,2017-10-13,50590000000.0
D,2018-02-15,49140000000.0
D,2018-04-13,41720000000.0
D,2018-07-13,45760000000.0
D,2018-10-12,46750000000.0
D,2019-02-15,58560000000.0
D,2019-04-12,61330000000.0
D,2019-07-12,62260000000.0
D,2019-10-11,67410000000.0
D,2020-02-14,73290000000.0
D,2024-04-26,42290000000.0
D,2024-10-25,50050000000.0
