Company,Date,Market Cap
EFX,2010-01-31,4040000000.0
EFX,2010-04-16,4410000000.0
EFX,2010-07-16,3650000000.0
EFX,2010-10-15,3960000000.0
EFX,2011-01-31,4380000000.0
EFX,2011-04-15,4590000000.0
EFX,2011-07-15,4210000000.0
EFX,2011-10-14,4120000000.0
EFX,2012-01-31,4670000000.0
EFX,2012-04-13,5270000000.0
EFX,2012-07-13,5850000000.0
EFX,2012-10-12,5890000000.0
EFX,2013-01-31,7070000000.0
EFX,2013-04-12,7110000000.0
EFX,2013-07-12,7410000000.0
EFX,2013-10-11,7410000000.0
EFX,2014-01-31,8550000000.000001
EFX,2014-04-11,7940000000.0
EFX,2014-07-11,8930000000.0
EFX,2014-10-13,8529999999.999999
EFX,2015-01-31,10090000000.0
EFX,2015-04-13,11130000000.0
EFX,2015-07-13,11740000000.0
EFX,2015-10-21,12550000000.0
EFX,2016-01-31,12560000000.0
EFX,2016-03-31,13600000000.0
EFX,2016-07-13,15920000000.0
EFX,2016-10-13,15450000000.0
EFX,2017-01-31,14060000000.0
EFX,2017-04-13,16210000000.0
EFX,2017-07-13,16750000000.0
EFX,2017-10-31,13030000000.0
EFX,2018-01-31,15010000000.0
EFX,2018-04-13,13950000000.0
EFX,2018-07-13,15290000000.0
EFX,2018-10-12,14840000000.0
EFX,2019-01-31,12920000000.0
EFX,2019-04-30,15220000000.0
EFX,2019-07-12,16640000000.0
EFX,2019-10-11,17430000000.0
EFX,2020-04-10,15080000000.0
EFX,2020-07-10,19810000000.0
EFX,2020-10-09,19980000000.0
EFX,2021-01-29,21570000000.0
EFX,2021-04-09,22610000000.0
EFX,2021-10-08,31560000000.0
EFX,2022-01-31,29270000000.0
EFX,2022-07-08,23310000000.0
EFX,2022-10-07,20670000000.0
EFX,2023-01-31,27220000000.0
EFX,2023-04-07,24090000000.0
EFX,2023-07-07,27690000000.0
EFX,2023-10-06,22450000000.0
EFX,2024-01-31,30290000000.0
EFX,2024-04-05,31660000000.0
EFX,2024-07-05,29970000000.0
EFX,2024-10-04,35150000000.0
