Company,Date,Market Cap
EIX,2010-02-25,10670000000.0
EIX,2010-05-03,11300000000.0
EIX,2010-08-02,11090000000.0
EIX,2010-10-26,11720000000.0
EIX,2011-02-24,11660000000.0
EIX,2011-04-28,12860000000.0
EIX,2011-08-01,12360000000.0
EIX,2011-10-31,13230000000.0
EIX,2012-02-27,13780000000.0
EIX,2012-04-30,14340000000.0
EIX,2012-07-27,15100000000.0
EIX,2012-09-30,14890000000.0
EIX,2012-10-30,15170000000.0
EIX,2013-02-22,15270000000.0
EIX,2013-04-26,17380000000.0
EIX,2013-07-30,16270000000.0
EIX,2013-10-25,16100000000.000002
EIX,2014-02-21,16730000000.0
EIX,2014-04-25,18550000000.0
EIX,2014-07-29,18580000000.0
EIX,2014-10-24,19760000000.0
EIX,2015-02-20,20880000000.0
EIX,2015-04-24,20060000000.0
EIX,2015-07-28,19180000000.0
EIX,2015-10-23,21030000000.0
EIX,2016-02-19,20490000000.0
EIX,2016-04-28,22840000000.0
EIX,2016-07-26,25040000000.0
EIX,2016-10-28,23420000000.0
EIX,2017-02-17,24870000000.0
EIX,2017-04-28,26060000000.0
EIX,2017-07-25,25540000000.0
EIX,2017-10-27,25890000000.0
EIX,2018-02-20,19650000000.0
EIX,2018-04-27,21440000000.0
EIX,2018-07-23,21190000000.0
EIX,2018-10-26,22210000000.0
EIX,2019-02-26,19990000000.0
EIX,2019-04-26,20710000000.0
EIX,2019-07-23,22890000000.0
EIX,2019-10-24,25890000000.0
EIX,2020-02-20,28030000000.0
EIX,2020-07-23,21430000000.0
EIX,2024-04-23,27260000000.0
EIX,2024-10-22,33229999999.999996
