Company,Date,Market Cap
EL,2010-01-22,6320000000.0
EL,2010-04-22,8369999999.999999
EL,2010-08-13,6920000000.0
EL,2010-10-21,7870000000.0
EL,2011-01-26,9870000000.0
EL,2011-04-27,11490000000.0
EL,2011-08-15,11220000000.0
EL,2011-10-25,11260000000.0
EL,2012-01-23,13400000000.0
EL,2012-01-25,13970000000.0
EL,2012-04-25,15310000000.0
EL,2012-08-13,12950000000.0
EL,2012-10-25,14550000000.0
EL,2013-01-30,14910000000.0
EL,2013-04-25,16469999999.999998
EL,2013-08-19,15920000000.0
EL,2013-10-24,17079999999.999998
EL,2014-01-29,16350000000.000002
EL,2014-04-25,16899999999.999998
EL,2014-08-14,17650000000.0
EL,2014-10-28,17370000000.0
EL,2015-01-29,16559999999.999998
EL,2015-04-28,19150000000.0
EL,2015-10-26,18670000000.0
EL,2016-01-29,18920000000.0
EL,2016-04-26,21300000000.0
EL,2016-08-18,21010000000.0
EL,2016-10-26,19060000000.0
EL,2017-01-26,18220000000.0
EL,2017-04-26,19660000000.0
EL,2017-08-18,23750000000.0
EL,2017-10-25,24980000000.0
EL,2018-01-26,30920000000.0
EL,2018-04-25,32810000000.000004
EL,2018-08-17,30470000000.0
EL,2018-10-24,27330000000.0
EL,2019-01-29,28460000000.0
EL,2019-04-24,37370000000.0
EL,2019-08-16,39650000000.0
EL,2017-05-02,6840000000.0
EL,2019-10-24,41740000000.0
EL,2020-01-30,44170000000.0
EL,2020-04-24,37380000000.0
EL,2020-08-20,44720000000.0
EL,2020-10-26,52600000000.0
EL,2021-01-29,54370000000.0
EL,2021-04-26,73340000000.0
EL,2021-08-20,76950000000.0
EL,2021-10-26,76710000000.0
EL,2022-01-27,37640000000.0
EL,2022-04-26,59060000000.0
EL,2022-08-17,63980000000.0
EL,2022-10-26,47640000000.0
EL,2023-01-26,63300000000.0
EL,2023-04-26,30240000000.0
EL,2023-08-11,38920000000.0
EL,2023-10-25,31260000000.0
EL,2024-04-24,34340000000.000004
EL,2024-08-12,20100000000.0
EL,2024-10-24,20690000000.0
EL,2025-01-28,19430000000.0
