Company,Date,Market Cap
EPAM,2012-03-15,720680000.0
EPAM,2012-05-08,764740000.0
EPAM,2012-08-03,684520000.0
EPAM,2012-11-07,783450000.0
EPAM,2013-03-01,1010000000.0
EPAM,2013-05-01,967860000.0
EPAM,2013-08-05,1370000000.0
EPAM,2013-11-01,1700000000.0
EPAM,2014-04-30,1460000000.0
EPAM,2014-07-31,1840000000.0
EPAM,2014-10-31,2290000000.0
EPAM,2015-02-24,2800000000.0
EPAM,2015-04-30,3160000000.0
EPAM,2015-07-30,3630000000.0
EPAM,2015-10-30,3870000000.0
EPAM,2016-02-10,2920000000.0
EPAM,2016-04-29,3700000000.0
EPAM,2016-07-29,3570000000.0
EPAM,2016-10-31,3290000000.0
EPAM,2017-02-10,3410000000.0
EPAM,2017-04-28,3990000000.0
EPAM,2017-07-31,4510000000.0
EPAM,2017-10-31,4810000000.0
EPAM,2018-02-12,5840000000.0
EPAM,2018-04-30,6110000000.0
EPAM,2018-07-31,7000000000.0
EPAM,2018-10-31,6450000000.0
EPAM,2019-02-12,8029999999.999999
EPAM,2019-04-30,9800000000.0
EPAM,2019-07-31,10630000000.0
EPAM,2019-10-31,9680000000.0
EPAM,2020-02-12,12840000000.0
EPAM,2020-04-30,12290000000.0
EPAM,2020-07-31,16200000000.0
EPAM,2020-10-31,17300000000.0
EPAM,2021-02-12,22490000000.0
EPAM,2021-04-30,25820000000.0
EPAM,2021-07-31,31700000000.0
EPAM,2021-10-29,38190000000.0
EPAM,2022-02-11,24240000000.0
EPAM,2022-04-29,15140000000.0
EPAM,2022-07-29,20040000000.0
EPAM,2022-10-31,20130000000.0
EPAM,2023-02-10,20560000000.0
EPAM,2023-04-28,16350000000.000002
EPAM,2023-07-31,13730000000.0
EPAM,2023-10-31,12550000000.0
EPAM,2024-02-09,16550000000.0
EPAM,2024-04-30,13640000000.0
EPAM,2024-07-31,12250000000.0
EPAM,2024-10-31,10700000000.0
