Company,Date,Market Cap
ERIE,2010-02-19,2029999999.9999998
ERIE,2010-04-15,2300000000.0
ERIE,2010-07-21,2410000000.0
ERIE,2010-10-22,2910000000.0
ERIE,2011-02-18,3440000000.0
ERIE,2011-04-29,3580000000.0
ERIE,2011-07-22,3640000000.0
ERIE,2011-10-20,3650000000.0
ERIE,2012-02-17,3710000000.0
ERIE,2012-04-19,3600000000.0
ERIE,2012-07-19,3410000000.0
ERIE,2012-10-17,3010000000.0
ERIE,2013-02-15,3380000000.0
ERIE,2013-04-19,3550000000.0
ERIE,2013-07-19,3850000000.0
ERIE,2013-10-18,3360000000.0
ERIE,2014-02-14,3270000000.0
ERIE,2014-04-18,3230000000.0
ERIE,2014-07-18,3380000000.0
ERIE,2014-10-17,3700000000.0
ERIE,2015-02-20,4269999999.9999995
ERIE,2015-04-17,3900000000.0
ERIE,2015-07-17,3900000000.0
ERIE,2015-10-16,3930000000.0
ERIE,2016-02-19,4520000000.0
ERIE,2016-04-15,4260000000.0
ERIE,2016-07-15,4510000000.0
ERIE,2016-10-14,4760000000.0
ERIE,2017-04-14,5550000000.0
ERIE,2017-07-14,5550000000.0
ERIE,2017-10-13,5530000000.0
ERIE,2018-02-16,5320000000.0
ERIE,2018-04-13,5370000000.0
ERIE,2018-07-13,5460000000.0
ERIE,2018-10-12,5630000000.0
ERIE,2019-02-15,7630000000.0
ERIE,2019-04-12,8199999999.999999
ERIE,2019-07-12,12330000000.0
ERIE,2019-10-11,8539999999.999999
ERIE,2020-02-21,7340000000.0
ERIE,2020-05-01,7960000000.0
ERIE,2020-07-24,9530000000.0
ERIE,2020-10-23,10670000000.0
ERIE,2021-02-19,11830000000.0
ERIE,2021-04-23,10580000000.0
ERIE,2021-07-23,8480000000.0
ERIE,2021-10-22,9350000000.0
ERIE,2022-02-18,8400000000.0
ERIE,2022-04-22,8010000000.0
ERIE,2022-07-22,8860000000.0
ERIE,2022-10-21,11010000000.0
ERIE,2023-02-17,11160000000.0
ERIE,2023-04-21,10540000000.0
ERIE,2023-07-21,9690000000.0
ERIE,2023-10-20,13850000000.0
ERIE,2024-02-20,16420000000.000002
ERIE,2024-04-19,17620000000.0
ERIE,2024-07-19,17430000000.0
ERIE,2024-10-25,20510000000.0
