Company,Date,Market Cap
ESS,2010-02-24,2530000000.0
ESS,2010-05-05,3310000000.0
ESS,2010-08-04,3250000000.0
ESS,2010-11-08,3610000000.0
ESS,2011-02-23,3780000000.0
ESS,2011-05-05,4360000000.0
ESS,2011-08-04,4390000000.0
ESS,2011-11-03,4650000000.0
ESS,2012-02-22,4810000000.0
ESS,2012-05-03,5500000000.0
ESS,2012-08-02,5690000000.0
ESS,2012-11-01,5400000000.0
ESS,2013-02-20,5780000000.0
ESS,2013-05-02,5880000000.0
ESS,2013-08-01,6120000000.0
ESS,2013-10-31,6120000000.0
ESS,2014-02-18,6430000000.0
ESS,2014-08-08,11910000000.0
ESS,2014-11-05,12960000000.0
ESS,2015-02-24,14530000000.0
ESS,2015-05-05,14330000000.0
ESS,2015-08-03,14890000000.0
ESS,2015-10-30,14560000000.0
ESS,2016-02-22,13710000000.0
ESS,2016-04-28,14680000000.0
ESS,2016-07-28,14450000000.0
ESS,2016-10-27,13490000000.0
ESS,2017-02-21,15140000000.0
ESS,2017-04-27,15840000000.0
ESS,2017-07-27,17420000000.0
ESS,2017-10-30,17220000000.0
ESS,2018-02-15,15160000000.0
ESS,2018-04-30,15830000000.0
ESS,2018-07-31,15880000000.0
ESS,2018-10-29,16950000000.0
ESS,2019-02-15,18320000000.0
ESS,2019-04-23,18200000000.0
ESS,2019-07-23,19430000000.0
ESS,2019-10-22,21870000000.0
ESS,2020-02-18,21430000000.0
ESS,2020-05-05,16000000000.0
ESS,2020-10-28,12150000000.0
ESS,2021-02-17,17340000000.0
ESS,2021-04-26,19300000000.0
ESS,2021-07-28,21540000000.0
ESS,2021-10-25,21800000000.0
ESS,2022-02-23,20480000000.0
ESS,2022-04-25,22740000000.0
ESS,2022-07-25,17830000000.0
ESS,2022-10-25,15310000000.0
ESS,2023-02-21,14930000000.0
ESS,2023-04-26,13220000000.0
ESS,2023-07-26,15370000000.0
ESS,2023-10-25,13500000000.0
ESS,2024-02-21,15100000000.0
ESS,2024-07-29,18370000000.0
ESS,2024-10-28,19260000000.0
