Company,Date,Market Cap
ES,2010-01-31,4450000000.0
ES,2010-04-30,4890000000.0
ES,2010-10-31,5520000000.0
ES,2011-04-30,6290000000.0
ES,2011-07-30,6010000000.0
ES,2011-10-31,6120000000.0
ES,2012-04-30,11530000000.0
ES,2012-07-31,12510000000.0
ES,2012-10-31,12340000000.0
ES,2013-01-31,12800000000.0
ES,2013-04-30,14260000000.0
ES,2013-07-31,13980000000.0
ES,2013-10-31,13510000000.0
ES,2014-01-31,13820000000.0
ES,2014-04-30,14930000000.0
ES,2014-07-31,13890000000.0
ES,2014-10-31,15630000000.0
ES,2015-01-31,17630000000.0
ES,2015-04-30,15490000000.0
ES,2015-07-31,15770000000.0
ES,2015-10-31,16160000000.0
ES,2016-01-31,17059999999.999998
ES,2016-04-30,17900000000.0
ES,2016-07-29,18550000000.0
ES,2016-10-31,17450000000.0
ES,2017-04-30,18820000000.0
ES,2017-07-31,19260000000.0
ES,2017-10-31,19850000000.0
ES,2018-01-31,19990000000.0
ES,2018-04-30,19090000000.0
ES,2018-07-31,19240000000.0
ES,2018-10-31,20050000000.0
ES,2019-01-31,22000000000.0
ES,2019-04-30,22750000000.0
ES,2019-07-31,24550000000.0
ES,2019-10-31,27110000000.0
ES,2020-01-31,30500000000.0
ES,2024-04-30,21350000000.0
ES,2024-07-31,23200000000.0
ES,2024-10-31,24130000000.0
