Company,Date,Market Cap
ETN,2013-01-31,26830000000.0
ETN,2013-03-31,28980000000.0
ETN,2013-06-30,31190000000.0
ETN,2013-09-30,32659999999.999996
ETN,2014-01-31,34740000000.0
ETN,2014-03-31,35810000000.0
ETN,2014-06-30,36730000000.0
ETN,2014-09-30,30080000000.0
ETN,2015-01-31,29520000000.0
ETN,2015-03-31,31730000000.0
ETN,2015-06-30,31550000000.0
ETN,2015-10-30,25880000000.0
ETN,2016-01-31,23180000000.0
ETN,2016-03-31,28650000000.0
ETN,2016-06-30,27160000000.0
ETN,2016-09-30,29680000000.0
ETN,2017-01-31,31830000000.0
ETN,2017-03-31,33170000000.0
ETN,2017-06-30,34620000000.0
ETN,2017-09-30,33830000000.0
ETN,2018-01-31,36960000000.0
ETN,2018-03-31,34940000000.0
ETN,2018-06-30,32380000000.000004
ETN,2018-09-30,37590000000.0
ETN,2019-01-31,32299999999.999996
ETN,2019-03-31,34080000000.0
ETN,2019-06-30,34980000000.0
ETN,2019-09-30,34370000000.0
ETN,2020-01-31,39050000000.0
ETN,2020-03-31,31080000000.0
ETN,2020-06-30,35000000000.0
ETN,2020-09-30,40670000000.0
ETN,2021-03-31,55100000000.0
ETN,2021-06-30,59060000000.0
ETN,2021-09-30,59510000000.0
ETN,2022-01-31,63180000000.0
ETN,2022-03-31,60550000000.0
ETN,2022-06-30,50180000000.0
ETN,2022-09-30,53040000000.0
ETN,2023-01-31,64560000000.0
ETN,2023-03-31,68300000000.0
ETN,2023-06-30,80240000000.0
ETN,2023-09-30,85160000000.0
ETN,2024-01-31,98310000000.0
ETN,2024-03-31,125010000000.0
ETN,2024-06-30,124820000000.0
ETN,2024-09-30,130990000000.00002
