Company,Date,Market Cap
ETR,2010-01-29,14440000000.0
ETR,2010-04-30,15390000000.0
ETR,2010-07-30,14480000000.0
ETR,2011-01-31,12920000000.0
ETR,2011-04-29,12410000000.0
ETR,2011-07-29,11810000000.0
ETR,2011-10-31,12180000000.0
ETR,2012-01-31,12250000000.0
ETR,2012-04-30,11610000000.0
ETR,2012-07-31,12890000000.0
ETR,2012-10-31,12900000000.0
ETR,2013-01-31,11500000000.0
ETR,2013-04-30,12690000000.0
ETR,2013-07-31,12030000000.0
ETR,2013-10-31,11540000000.0
ETR,2014-01-31,11250000000.0
ETR,2014-04-30,13010000000.0
ETR,2014-07-31,13080000000.0
ETR,2014-10-31,15160000000.0
ETR,2015-01-30,15730000000.0
ETR,2015-04-30,13860000000.0
ETR,2015-07-31,12750000000.0
ETR,2015-10-30,12160000000.0
ETR,2016-01-29,12600000000.0
ETR,2016-04-29,13440000000.0
ETR,2016-07-29,14570000000.0
ETR,2016-10-31,13200000000.0
ETR,2017-01-31,12850000000.0
ETR,2017-04-28,13690000000.0
ETR,2017-07-31,13770000000.0
ETR,2017-10-31,15550000000.0
ETR,2018-01-31,14220000000.0
ETR,2018-04-30,14750000000.0
ETR,2018-07-31,14700000000.0
ETR,2018-10-31,15210000000.0
ETR,2019-04-30,18400000000.0
ETR,2019-07-31,21000000000.0
ETR,2019-08-14,2910000000.0
ETR,2019-10-31,24190000000.0
ETR,2020-01-31,26270000000.0
ETR,2020-04-30,19120000000.0
ETR,2020-07-31,21050000000.0
ETR,2020-10-30,20270000000.0
ETR,2021-01-29,19110000000.0
ETR,2021-04-30,21930000000.0
ETR,2021-07-30,20680000000.0
ETR,2021-10-29,20710000000.0
ETR,2022-01-31,22690000000.0
ETR,2022-04-29,24170000000.0
ETR,2022-07-29,23420000000.0
ETR,2022-10-31,21800000000.0
ETR,2023-01-31,22890000000.0
ETR,2023-04-28,22750000000.0
ETR,2023-10-31,20210000000.0
ETR,2024-01-31,21270000000.0
ETR,2024-04-30,22780000000.0
ETR,2024-07-31,24800000000.0
ETR,2024-09-30,28220000000.0
