Company,Date,Market Cap
EXPE,2011-12-07,3520000000.0
EXPE,2011-12-21,3370000000.0
EXPE,2012-01-27,3840000000.0
EXPE,2012-04-13,3640000000.0
EXPE,2012-07-13,5610000000.0
EXPE,2012-10-12,6620000000.0
EXPE,2013-01-25,8150000000.0
EXPE,2013-04-12,7880000000.0
EXPE,2013-07-12,7850000000.0
EXPE,2013-10-18,5690000000.0
EXPE,2014-01-24,7730000000.0
EXPE,2014-04-18,8480000000.0
EXPE,2014-07-18,9010000000.0
EXPE,2014-10-17,8480000000.0
EXPE,2015-01-23,9960000000.0
EXPE,2015-04-17,11030000000.0
EXPE,2015-07-17,12890000000.0
EXPE,2015-10-16,14910000000.0
EXPE,2016-01-29,13920000000.0
EXPE,2016-04-15,14880000000.0
EXPE,2016-04-22,14620000000.0
EXPE,2016-07-15,15690000000.0
EXPE,2016-10-14,16579999999.999998
EXPE,2017-01-27,16719999999.999998
EXPE,2017-04-14,17700000000.0
EXPE,2017-07-14,21400000000.0
EXPE,2017-10-13,20970000000.0
EXPE,2018-01-26,18320000000.0
EXPE,2018-04-13,14740000000.0
EXPE,2018-07-13,17350000000.0
EXPE,2018-10-12,16140000000.0
EXPE,2019-01-25,15740000000.0
EXPE,2019-04-19,16930000000.0
EXPE,2019-07-12,18410000000.0
EXPE,2019-10-25,19100000000.0
EXPE,2020-01-31,14580000000.0
EXPE,2020-04-13,7910000000.0
EXPE,2020-05-08,9380000000.0
EXPE,2020-07-17,11790000000.0
EXPE,2020-10-23,13960000000.0
EXPE,2021-01-29,17170000000.000002
EXPE,2021-04-23,25120000000.0
EXPE,2021-07-23,23470000000.0
EXPE,2021-10-22,23600000000.0
EXPE,2022-01-28,26190000000.0
EXPE,2022-04-22,27530000000.0
EXPE,2022-07-22,15110000000.0
EXPE,2022-10-21,14650000000.0
EXPE,2023-01-27,17170000000.000002
EXPE,2023-04-21,13380000000.0
EXPE,2023-07-21,16399999999.999998
EXPE,2023-10-20,12490000000.0
EXPE,2024-01-26,19870000000.0
EXPE,2024-04-19,16410000000.0
EXPE,2024-07-26,15690000000.0
EXPE,2024-10-25,19450000000.0
EXPE,2025-01-24,21120000000.0
