Company,Date,Market Cap
FCX,2010-02-12,31720000000.0
FCX,2010-04-30,32680000000.0
FCX,2010-07-30,33659999999.999996
FCX,2010-10-29,44630000000.0
FCX,2011-02-02,52980000000.0
FCX,2011-02-11,50660000000.0
FCX,2011-04-29,52120000000.0
FCX,2011-07-29,50200000000.0
FCX,2011-10-31,38160000000.0
FCX,2012-02-15,40210000000.0
FCX,2012-04-30,36350000000.0
FCX,2012-06-14,32170000000.0
FCX,2012-07-31,31960000000.0
FCX,2012-10-31,36910000000.0
FCX,2013-02-15,33270000000.000004
FCX,2013-03-22,31340000000.0
FCX,2013-04-30,28900000000.0
FCX,2013-07-31,29350000000.0
FCX,2013-10-31,38160000000.0
FCX,2014-02-14,35050000000.0
FCX,2014-04-30,35700000000.0
FCX,2014-06-30,37920000000.0
FCX,2014-07-31,38670000000.0
FCX,2014-10-31,29610000000.0
FCX,2015-02-20,22130000000.0
FCX,2015-04-30,24200000000.0
FCX,2015-07-31,12220000000.0
FCX,2015-10-30,13600000000.0
FCX,2016-02-19,8660000000.0
FCX,2016-04-29,17530000000.0
FCX,2016-07-29,17210000000.0
FCX,2016-10-31,15220000000.0
FCX,2017-02-15,22220000000.0
FCX,2017-04-28,18450000000.0
FCX,2017-07-31,21160000000.0
FCX,2017-10-31,20240000000.0
FCX,2018-01-31,28230000000.0
FCX,2018-04-30,22040000000.0
FCX,2018-07-31,23910000000.0
FCX,2018-10-31,16879999999.999998
FCX,2019-01-31,16870000000.000002
FCX,2019-04-30,17860000000.0
FCX,2019-07-31,16050000000.0
FCX,2019-10-31,14250000000.0
FCX,2020-01-31,16110000000.0
FCX,2020-04-30,12820000000.0
FCX,2020-07-31,18760000000.0
FCX,2020-10-31,25190000000.0
FCX,2021-01-29,39250000000.0
FCX,2021-04-30,55270000000.0
FCX,2021-07-30,55930000000.0
FCX,2021-10-29,55390000000.0
FCX,2022-01-31,54150000000.0
FCX,2022-04-29,58770000000.0
FCX,2022-07-29,45090000000.0
FCX,2022-10-31,45300000000.0
FCX,2023-01-31,63840000000.0
FCX,2023-04-28,54340000000.0
FCX,2023-07-31,64010000000.00001
FCX,2023-10-31,48440000000.0
FCX,2024-01-31,56930000000.0
FCX,2024-04-30,71740000000.0
FCX,2024-07-31,65250000000.0
FCX,2024-10-31,64690000000.0
