Company,Date,Market Cap
FDX,2010-03-15,27510000000.0
FDX,2010-07-12,23330000000.0
FDX,2010-09-15,27040000000.0
FDX,2010-12-15,29100000000.0
FDX,2011-03-16,26920000000.0
FDX,2011-07-11,30140000000.0
FDX,2011-09-21,23000000000.0
FDX,2011-12-14,24310000000.0
FDX,2012-03-21,30220000000.0
FDX,2012-07-13,29240000000.0
FDX,2012-09-17,28040000000.0
FDX,2012-12-18,29040000000.0
FDX,2013-03-19,33729999999.999996
FDX,2013-07-12,32380000000.000004
FDX,2013-09-18,36810000000.0
FDX,2013-12-18,43620000000.0
FDX,2014-03-19,40890000000.0
FDX,2014-07-11,43000000000.0
FDX,2014-09-17,45240000000.0
FDX,2014-12-17,47530000000.0
FDX,2015-03-18,49180000000.0
FDX,2015-07-10,47580000000.0
FDX,2015-09-16,42250000000.0
FDX,2015-12-15,39880000000.0
FDX,2016-03-16,38730000000.0
FDX,2016-07-14,42880000000.0
FDX,2016-09-20,43230000000.0
FDX,2016-12-20,52970000000.0
FDX,2017-03-20,51410000000.0
FDX,2017-07-13,58470000000.0
FDX,2017-09-18,57670000000.0
FDX,2017-12-18,64810000000.0
FDX,2018-03-19,66700000000.0
FDX,2018-07-12,61880000000.0
FDX,2018-09-13,66709999999.99999
FDX,2018-12-14,48060000000.0
FDX,2019-03-15,46380000000.0
FDX,2019-07-12,43680000000.0
FDX,2019-09-13,45420000000.0
FDX,2019-12-13,43260000000.0
FDX,2020-03-13,27860000000.0
FDX,2020-07-16,43510000000.0
FDX,2020-09-11,61130000000.0
FDX,2020-12-15,75740000000.0
FDX,2021-03-16,69200000000.0
FDX,2021-07-15,79160000000.0
FDX,2021-09-17,67800000000.0
FDX,2021-12-14,63600000000.0
FDX,2022-03-15,56040000000.0
FDX,2022-07-14,55680000000.0
FDX,2022-12-16,43340000000.0
FDX,2023-03-14,49740000000.0
FDX,2023-07-13,64920000000.0
FDX,2023-09-18,62680000000.0
FDX,2023-12-18,7040000000.0
FDX,2024-03-19,63150000000.0
FDX,2024-09-17,72650000000.0
FDX,2024-12-17,66819999999.99999
