Company,Date,Market Cap
FI,2015-11-02,15010000000.0
FI,2016-02-25,15450000000.0
FI,2016-04-21,15290000000.0
FI,2016-07-27,17180000000.0
FI,2016-11-01,21920000000.0
FI,2017-02-22,25320000000.0
FI,2017-04-27,26720000000.0
FI,2017-07-31,28660000000.0
FI,2017-10-27,29040000000.0
FI,2018-02-19,31880000000.0
FI,2018-05-03,15460000000.0
FI,2018-07-31,16920000000.000002
FI,2018-10-31,17780000000.0
FI,2019-02-18,19250000000.0
FI,2019-05-01,19340000000.0
FI,2019-07-31,23760000000.0
FI,2019-07-28,3930000000.0
FI,2019-10-31,23930000000.0
FI,2020-02-18,27590000000.0
FI,2020-04-30,23260000000.0
FI,2020-07-28,22590000000.0
FI,2020-10-27,21860000000.0
FI,2021-02-17,25170000000.0
FI,2021-04-29,27840000000.0
FI,2021-07-29,26140000000.0
FI,2023-04-21,72200000000.0
FI,2023-07-21,78350000000.0
FI,2023-10-20,66319999999.99999
FI,2024-02-16,87400000000.0
FI,2024-04-19,86960000000.0
FI,2024-07-19,89840000000.0
FI,2024-10-18,112240000000.0
