Company,Date,Market Cap
FOX,2019-03-13,10430000000.0
FOX,2019-05-07,9770000000.0
FOX,2019-08-06,9690000000.0
FOX,2019-11-04,8490000000.0
FOX,2020-02-04,9800000000.0
FOX,2020-05-04,6430000000.0
FOX,2020-08-05,6490000000.0
FOX,2020-10-30,6740000000.0
FOX,2021-02-05,7770000000.0
FOX,2021-05-03,9060000000.0
FOX,2021-08-06,8480000000.0
FOX,2021-11-01,9520000000.0
FOX,2022-02-04,9200000000.0
FOX,2022-05-06,7860000000.0
FOX,2022-08-09,7610000000.0
FOX,2022-10-28,6540000000.0
FOX,2023-05-05,6920000000.0
FOX,2023-08-08,7740000000.0
FOX,2023-10-31,6580000000.0
FOX,2024-05-06,7070000000.0
FOX,2024-08-05,8020000000.0
FOX,2024-10-31,9180000000.0
FOX,2025-01-31,11450000000.0
