Company,Date,Market Cap
FTNT,2010-03-01,1210000000.0
FTNT,2010-04-30,1200000000.0
FTNT,2010-07-30,1290000000.0
FTNT,2010-10-29,2210000000.0
FTNT,2011-02-17,3110000000.0
FTNT,2011-04-28,3630000000.0
FTNT,2011-06-02,3570000000.0
FTNT,2011-07-29,3110000000.0
FTNT,2011-10-28,3550000000.0
FTNT,2012-02-17,4059999999.9999995
FTNT,2012-04-27,4130000000.0
FTNT,2012-07-31,3800000000.0
FTNT,2012-10-23,3130000000.0
FTNT,2013-02-20,3810000000.0
FTNT,2013-04-30,2910000000.0
FTNT,2013-07-31,3450000000.0
FTNT,2013-10-29,3290000000.0
FTNT,2014-02-18,3710000000.0
FTNT,2014-04-30,3580000000.0
FTNT,2014-07-31,4019999999.9999995
FTNT,2014-10-31,4290000000.0
FTNT,2015-02-20,5710000000.0
FTNT,2015-04-24,6560000000.0
FTNT,2015-07-31,8170000000.0
FTNT,2015-10-30,5920000000.0
FTNT,2016-02-19,4480000000.0
FTNT,2016-04-29,5580000000.0
FTNT,2016-07-29,5990000000.0
FTNT,2016-10-31,5550000000.0
FTNT,2017-02-17,6570000000.0
FTNT,2017-04-28,6850000000.0
FTNT,2017-07-27,6760000000.0
FTNT,2017-10-27,6740000000.0
FTNT,2018-02-16,8220000000.000001
FTNT,2018-04-30,9310000000.0
FTNT,2018-07-31,10640000000.0
FTNT,2018-10-31,14000000000.0
FTNT,2019-02-22,14810000000.0
FTNT,2019-04-30,15950000000.0
FTNT,2019-07-26,14600000000.0
FTNT,2015-08-10,57050000.0
FTNT,2019-10-23,13350000000.0
FTNT,2020-02-21,19750000000.0
FTNT,2020-05-01,16870000000.000002
FTNT,2020-07-31,22380000000.0
FTNT,2020-10-30,17920000000.0
FTNT,2021-02-12,26880000000.0
FTNT,2021-04-30,33350000000.0
FTNT,2021-07-30,44460000000.0
FTNT,2021-11-05,55780000000.0
FTNT,2022-02-18,49020000000.0
FTNT,2022-05-03,46000000000.0
FTNT,2022-07-29,47040000000.0
FTNT,2022-11-04,36800000000.0
FTNT,2023-02-17,47550000000.0
FTNT,2023-05-05,50720000000.0
FTNT,2023-08-04,44580000000.0
FTNT,2023-11-03,38760000000.0
FTNT,2024-02-22,51090000000.0
FTNT,2024-05-03,44980000000.0
FTNT,2024-08-02,43220000000.0
FTNT,2024-11-07,64140000000.0
