Company,Date,Market Cap
FTV,2016-07-27,16910000000.0
FTV,2016-10-21,16829999999.999998
FTV,2017-02-17,19960000000.0
FTV,2017-04-20,21010000000.0
FTV,2017-07-20,22040000000.0
FTV,2017-10-20,25030000000.0
FTV,2018-02-21,26450000000.0
FTV,2018-04-19,26760000000.0
FTV,2018-07-19,27100000000.0
FTV,2018-10-18,26730000000.0
FTV,2019-02-21,26970000000.0
FTV,2019-04-18,29660000000.0
FTV,2019-07-18,26540000000.0
FTV,2019-08-08,7950000000.0
FTV,2019-10-17,23810000000.0
FTV,2020-02-21,25500000000.0
FTV,2020-04-23,19740000000.0
FTV,2020-07-21,24000000000.0
FTV,2020-10-20,22220000000.0
FTV,2021-02-19,22720000000.0
FTV,2021-04-21,25020000000.0
FTV,2021-07-27,24650000000.0
FTV,2021-10-25,26670000000.0
FTV,2022-02-24,23110000000.0
FTV,2022-04-25,20740000000.0
FTV,2022-07-25,20740000000.0
FTV,2022-10-24,22210000000.0
FTV,2023-04-21,23610000000.0
FTV,2023-07-21,26140000000.0
FTV,2023-10-20,24680000000.0
FTV,2024-02-22,30110000000.0
FTV,2024-04-19,27980000000.0
FTV,2024-07-19,26480000000.0
FTV,2024-10-25,26010000000.0
