Company,Date,Market Cap
F,2010-02-12,36670000000.0
F,2010-04-29,45300000000.0
F,2010-07-30,43020000000.0
F,2010-10-29,48070000000.0
F,2011-02-14,59720000000.0
F,2011-04-28,57770000000.0
F,2011-07-28,45940000000.0
F,2011-10-28,44750000000.0
F,2012-02-13,46770000000.0
F,2012-04-27,43450000000.0
F,2012-07-27,33689999999.999996
F,2012-10-26,38770000000.0
F,2013-02-01,50150000000.0
F,2013-04-24,51460000000.0
F,2013-07-24,67200000000.0
F,2013-10-24,68790000000.0
F,2014-02-07,57980000000.0
F,2014-04-24,63380000000.0
F,2014-07-24,67930000000.00001
F,2014-10-24,52060000000.0
F,2015-02-06,61620000000.0
F,2015-04-21,61770000000.0
F,2015-07-21,56550000000.0
F,2015-10-20,59950000000.0
F,2016-02-04,44950000000.0
F,2016-03-04,52980000000.0
F,2016-04-21,53260000000.0
F,2016-07-21,54320000000.0
F,2016-10-20,46720000000.0
F,2017-01-31,48250000000.0
F,2017-04-20,44860000000.0
F,2017-07-19,46150000000.0
F,2017-10-19,47710000000.0
F,2018-01-31,42810000000.0
F,2018-04-20,42350000000.0
F,2018-07-20,41340000000.0
F,2018-10-19,33210000000.0
F,2019-01-31,34390000000.0
F,2019-04-19,37420000000.0
F,2019-07-19,39970000000.0
F,2019-10-18,36180000000.0
F,2020-01-31,34350000000.0
F,2020-04-24,19020000000.0
F,2020-07-24,26880000000.0
F,2020-10-23,31890000000.0
F,2021-01-29,41150000000.0
F,2021-04-23,47910000000.0
F,2021-07-23,54230000000.0
F,2021-10-22,63910000000.0
F,2022-01-31,79850000000.0
F,2022-04-22,59750000000.0
F,2022-07-22,50630000000.0
F,2022-10-21,48150000000.0
F,2023-04-28,46690000000.0
F,2023-07-24,54880000000.0
F,2023-10-23,45140000000.0
F,2024-02-02,47380000000.0
F,2024-04-19,47610000000.0
F,2024-10-24,43870000000.0
F,2025-02-03,38500000000.0
