Company,Date,Market Cap
GDDY,2015-05-08,1620000000.0
GDDY,2015-07-31,1850000000.0
GDDY,2015-10-30,1800000000.0
GDDY,2016-02-26,2120000000.0
GDDY,2016-04-29,2470000000.0
GDDY,2016-07-29,2470000000.0
GDDY,2016-10-28,3180000000.0
GDDY,2017-02-24,3310000000.0
GDDY,2017-05-04,3560000000.0
GDDY,2017-08-04,4740000000.0
GDDY,2017-11-03,5940000000.0
GDDY,2018-02-23,8230000000.0
GDDY,2018-05-03,9680000000.0
GDDY,2018-07-27,12170000000.0
GDDY,2018-11-02,12310000000.0
GDDY,2019-02-15,12330000000.0
GDDY,2019-04-26,14360000000.0
GDDY,2019-07-26,13240000000.0
GDDY,2019-11-01,11160000000.0
GDDY,2020-02-14,13600000000.0
GDDY,2020-05-01,10880000000.0
GDDY,2020-07-31,11720000000.0
GDDY,2020-10-30,11880000000.0
GDDY,2021-02-12,14540000000.0
GDDY,2021-04-30,14570000000.0
GDDY,2021-07-30,14160000000.0
GDDY,2021-10-29,11500000000.0
GDDY,2022-02-11,13470000000.0
GDDY,2022-04-29,13070000000.0
GDDY,2022-07-29,11600000000.0
GDDY,2022-10-28,12580000000.0
GDDY,2023-02-10,12390000000.0
GDDY,2023-04-28,11670000000.0
GDDY,2023-07-28,10950000000.0
GDDY,2023-10-27,10090000000.0
GDDY,2024-02-23,16370000000.000002
GDDY,2024-04-26,17620000000.0
GDDY,2024-07-26,20250000000.0
GDDY,2024-10-25,22540000000.0
