Company,Date,Market Cap
GD,2010-01-31,25790000000.0
GD,2010-04-04,30050000000.0
GD,2010-07-04,22330000000.0
GD,2010-10-03,23590000000.0
GD,2011-01-30,27630000000.0
GD,2011-04-03,28800000000.0
GD,2011-07-03,27430000000.0
GD,2012-01-29,25100000000.0
GD,2012-09-30,23340000000.0
GD,2013-01-27,25080000000.0
GD,2013-03-31,24900000000.0
GD,2013-06-30,27410000000.0
GD,2013-09-26,31080000000.0
GD,2013-09-29,31100000000.0
GD,2014-01-26,33650000000.0
GD,2014-03-30,36930000000.0
GD,2014-06-29,39280000000.0
GD,2014-09-28,42320000000.0
GD,2015-04-05,43960000000.0
GD,2015-07-05,46200000000.0
GD,2015-10-04,43980000000.0
GD,2016-01-31,41620000000.0
GD,2016-04-03,40450000000.0
GD,2016-07-03,43150000000.0
GD,2017-01-29,56050000000.0
GD,2018-01-28,67180000000.00001
GD,2018-09-30,60630000000.0
GD,2019-01-27,49350000000.0
GD,2019-03-31,48900000000.0
GD,2019-06-30,52520000000.0
GD,2019-09-29,52950000000.0
GD,2020-01-26,53600000000.0
GD,2020-03-29,37310000000.0
GD,2020-06-28,41910000000.0
GD,2020-09-27,39660000000.0
GD,2021-01-31,41990000000.0
GD,2021-04-04,51100000000.0
GD,2021-07-04,52700000000.0
GD,2021-10-03,55350000000.0
GD,2022-01-30,59100000000.0
GD,2022-04-03,67349999999.99999
GD,2022-07-03,61390000000.0
GD,2023-01-29,62430000000.0
GD,2024-01-28,72620000000.0
GD,2024-03-31,77510000000.0
GD,2024-09-29,82530000000.0
