Company,Date,Market Cap
GIS,2010-03-12,24010000000.0
GIS,2010-06-09,24880000000.0
GIS,2010-06-18,25100000000.0
GIS,2010-09-13,23460000000.0
GIS,2010-12-10,22700000000.0
GIS,2011-03-11,23820000000.0
GIS,2011-06-17,24470000000.0
GIS,2011-09-09,24140000000.0
GIS,2011-12-09,26060000000.0
GIS,2012-03-09,24970000000.0
GIS,2012-06-15,24940000000.0
GIS,2012-08-30,25380000000.0
GIS,2012-12-07,26470000000.0
GIS,2013-03-08,29870000000.0
GIS,2013-06-14,31590000000.0
GIS,2013-09-07,31200000000.0
GIS,2013-12-06,32159999999.999996
GIS,2014-03-07,31220000000.0
GIS,2014-06-13,33270000000.000004
GIS,2014-09-05,32490000000.000004
GIS,2014-12-05,32070000000.0
GIS,2015-03-06,31070000000.0
GIS,2015-06-12,32880000000.000004
GIS,2015-09-11,33750000000.0
GIS,2015-12-09,34760000000.0
GIS,2016-03-11,36290000000.0
GIS,2016-06-13,38720000000.0
GIS,2016-09-09,38470000000.0
GIS,2016-12-13,36970000000.0
GIS,2017-03-14,34830000000.0
GIS,2017-06-09,32950000000.000004
GIS,2017-09-13,31420000000.0
GIS,2017-12-11,31800000000.0
GIS,2018-03-12,29630000000.0
GIS,2018-06-07,25050000000.0
GIS,2018-09-10,28280000000.0
GIS,2018-12-07,22960000000.0
GIS,2019-03-11,28090000000.0
GIS,2019-06-10,30900000000.0
GIS,2019-09-10,32960000000.0
GIS,2019-12-10,32200000000.000004
GIS,2020-03-10,32790000000.0
GIS,2020-06-15,37120000000.0
GIS,2020-09-15,36080000000.0
GIS,2020-12-10,36000000000.0
GIS,2021-03-15,36000000000.0
GIS,2021-09-14,35600000000.0
GIS,2021-12-14,39760000000.0
GIS,2022-03-14,37680000000.0
GIS,2022-06-15,39620000000.0
GIS,2022-09-14,44170000000.0
GIS,2023-09-13,37930000000.0
GIS,2023-12-13,38530000000.0
GIS,2024-03-13,37280000000.0
GIS,2024-09-11,40590000000.0
GIS,2024-12-11,36110000000.0
