Company,Date,Market Cap
GLW,2010-01-29,28180000000.0
GLW,2010-04-16,31060000000.0
GLW,2010-07-15,27520000000.0
GLW,2010-10-15,29350000000.0
GLW,2011-01-31,34770000000.0
GLW,2011-04-15,31040000000.0
GLW,2011-06-30,27560000000.0
GLW,2011-07-15,26300000000.0
GLW,2011-10-17,20520000000.0
GLW,2012-01-31,19540000000.0
GLW,2012-04-16,20590000000.0
GLW,2012-07-16,18240000000.0
GLW,2012-10-15,19330000000.0
GLW,2013-01-31,17670000000.0
GLW,2013-04-15,19370000000.0
GLW,2013-07-15,22040000000.0
GLW,2013-10-15,20650000000.0
GLW,2014-01-31,23960000000.0
GLW,2014-04-15,26890000000.0
GLW,2014-07-15,28350000000.0
GLW,2014-10-15,22510000000.0
GLW,2015-01-30,30220000000.0
GLW,2015-04-15,28100000000.0
GLW,2015-07-15,23370000000.0
GLW,2015-10-16,19980000000.0
GLW,2016-04-15,22500000000.0
GLW,2016-07-15,22140000000.0
GLW,2016-10-14,22250000000.0
GLW,2017-01-31,24590000000.0
GLW,2017-04-13,24220000000.0
GLW,2017-07-14,28060000000.0
GLW,2017-10-13,25850000000.0
GLW,2018-01-31,26770000000.0
GLW,2018-04-13,22770000000.0
GLW,2018-07-13,23330000000.0
GLW,2018-10-19,24640000000.0
GLW,2019-01-31,26170000000.0
GLW,2019-04-30,24990000000.0
GLW,2019-07-22,26050000000.0
GLW,2012-05-10,55870000.0
GLW,2019-10-16,22700000000.0
GLW,2020-02-10,21050000000.0
GLW,2020-04-30,16750000000.0
GLW,2020-07-24,22310000000.0
GLW,2020-10-22,27100000000.0
GLW,2021-01-31,27560000000.0
GLW,2021-04-22,38810000000.0
GLW,2021-07-16,34009999999.999996
GLW,2021-10-22,32630000000.000004
GLW,2022-01-31,35560000000.0
GLW,2022-04-22,28550000000.0
GLW,2022-07-20,29100000000.0
GLW,2022-10-21,27230000000.0
GLW,2023-01-31,29300000000.0
GLW,2023-04-21,28560000000.0
GLW,2023-07-24,28310000000.0
GLW,2023-10-26,22980000000.0
GLW,2024-01-31,27730000000.0
GLW,2024-04-25,26860000000.0
GLW,2024-07-25,36630000000.0
GLW,2024-10-24,40080000000.0
