Company,Date,Market Cap
GOOG,2014-04-16,187690000000.0
GOOG,2014-07-17,194040000000.0
GOOG,2015-01-29,173960000000.0
GOOG,2015-04-23,186910000000.0
GOOG,2015-07-17,231440000000.0
GOOG,2015-09-21,218550000000.0
GOOG,2015-10-22,225200000000.0
GOOG,2016-02-01,259850000000.00003
GOOG,2016-04-21,260720000000.00003
GOOG,2016-07-28,256300000000.0
GOOG,2016-10-27,274470000000.00003
GOOG,2017-01-26,288700000000.0
GOOG,2017-04-27,303340000000.0
GOOG,2017-07-17,331540000000.0
GOOG,2017-10-19,344040000000.0
GOOG,2018-01-31,409300000000.0
GOOG,2018-04-18,374100000000.0
GOOG,2018-07-18,418420000000.0
GOOG,2018-10-19,383340000000.0
GOOG,2019-01-31,389940000000.0
GOOG,2019-04-22,434930000000.0
GOOG,2019-07-19,392530000000.0
GOOG,2019-10-21,428120000000.0
GOOG,2020-01-27,488930000000.0
GOOG,2020-04-21,408890000000.0
GOOG,2020-07-23,505680000000.0
GOOG,2020-10-22,532840000000.00006
GOOG,2021-01-26,628000000000.0
GOOG,2021-04-20,742170000000.0
GOOG,2021-07-20,839490000000.0
GOOG,2021-10-19,913950000000.0
GOOG,2022-01-25,800050000000.0
GOOG,2022-04-19,818110000000.0
GOOG,2022-07-22,66780000000.0
GOOG,2022-10-18,617060000000.0
GOOG,2023-01-26,591790000000.0
GOOG,2023-04-18,609800000000.0
GOOG,2023-10-17,807170000000.0
GOOG,2024-04-18,884450000.0
GOOG,2024-07-16,1036000000000.0
GOOG,2024-10-22,923180000000.0
GOOG,2025-01-28,1083000000000.0
