Company,Date,Market Cap
GPC,2010-02-11,6020000000.0
GPC,2010-03-31,6710000000.0
GPC,2010-06-30,6220000000.0
GPC,2010-09-30,7020000000.0
GPC,2011-02-10,8470000000.000001
GPC,2011-04-30,8449999999.999999
GPC,2011-06-30,8529999999.999999
GPC,2011-09-30,7910000000.0
GPC,2012-02-16,10220000000.0
GPC,2012-03-31,9780000000.0
GPC,2012-06-30,9340000000.0
GPC,2012-09-30,9470000000.0
GPC,2013-02-14,10960000000.0
GPC,2013-02-18,10980000000.0
GPC,2013-03-31,12090000000.0
GPC,2013-06-30,12090000000.0
GPC,2013-09-30,12490000000.0
GPC,2014-02-18,13440000000.0
GPC,2014-03-31,13340000000.0
GPC,2014-07-31,12680000000.0
GPC,2014-09-30,13410000000.0
GPC,2015-02-17,14750000000.0
GPC,2015-04-30,13680000000.0
GPC,2015-07-31,13480000000.0
GPC,2015-09-30,12500000000.0
GPC,2016-02-16,13400000000.0
GPC,2016-03-31,14870000000.0
GPC,2016-06-30,15080000000.0
GPC,2016-09-30,14940000000.0
GPC,2017-02-14,14790000000.0
GPC,2017-03-31,13620000000.0
GPC,2017-06-30,13620000000.0
GPC,2017-09-30,14020000000.0
GPC,2018-02-13,14190000000.0
GPC,2018-03-31,13180000000.0
GPC,2018-06-30,13470000000.0
GPC,2018-09-30,14590000000.0
GPC,2019-02-13,15460000000.0
GPC,2019-03-31,16360000000.0
GPC,2019-06-30,15130000000.0
GPC,2019-09-30,14470000000.0
GPC,2020-02-18,14070000000.0
GPC,2020-04-30,11440000000.0
GPC,2020-06-30,12550000000.0
GPC,2020-09-30,13730000000.0
GPC,2021-02-15,14340000000.0
GPC,2021-04-19,17250000000.0
GPC,2021-07-19,17990000000.0
GPC,2021-10-18,18060000000.0
GPC,2022-02-14,18040000000.0
GPC,2022-07-25,20440000000.0
GPC,2022-10-17,22340000000.0
GPC,2023-02-20,25360000000.0
GPC,2023-04-17,23370000000.0
GPC,2023-07-17,23410000000.0
GPC,2023-10-16,20990000000.0
GPC,2024-02-19,19930000000.0
GPC,2024-04-15,20160000000.0
GPC,2024-07-18,19540000000.0
GPC,2024-10-17,19970000000.0
