Company,Date,Market Cap
GRMN,2010-02-22,7000000000.0
GRMN,2010-08-02,5690000000.0
GRMN,2010-10-29,6350000000.0
GRMN,2011-02-17,6960000000.0
GRMN,2011-05-02,7080000000.0
GRMN,2011-08-01,6700000000.0
GRMN,2011-10-31,7160000000.0
GRMN,2012-02-23,10050000000.0
GRMN,2012-05-07,9780000000.0
GRMN,2012-08-06,8330000000.0
GRMN,2012-11-05,7800000000.0
GRMN,2013-02-25,7120000000.0
GRMN,2013-05-06,7340000000.0
GRMN,2013-08-05,8260000000.0
GRMN,2013-10-28,9950000000.0
GRMN,2014-02-13,9630000000.0
GRMN,2014-04-28,11380000000.0
GRMN,2014-07-28,11970000000.0
GRMN,2014-10-27,11780000000.0
GRMN,2015-02-13,11640000000.0
GRMN,2015-04-27,9660000000.0
GRMN,2015-07-27,8760000000.0
GRMN,2015-10-26,7330000000.0
GRMN,2016-02-12,7150000000.0
GRMN,2016-04-25,8760000000.0
GRMN,2016-07-25,9550000000.0
GRMN,2016-10-24,9680000000.0
GRMN,2017-02-17,10060000000.0
GRMN,2017-05-01,10270000000.0
GRMN,2017-07-31,9940000000.0
GRMN,2017-10-30,11190000000.0
GRMN,2018-02-16,12920000000.0
GRMN,2018-04-30,11620000000.0
GRMN,2018-07-30,12260000000.0
GRMN,2018-10-29,12240000000.0
GRMN,2019-02-15,14190000000.0
GRMN,2019-04-29,16930000000.0
GRMN,2019-07-29,15570000000.0
GRMN,2019-10-28,17360000000.0
GRMN,2020-02-14,18720000000.0
GRMN,2020-04-24,15080000000.0
GRMN,2020-07-24,18500000000.0
GRMN,2020-10-23,19280000000.0
GRMN,2021-02-12,25040000000.0
GRMN,2021-04-23,27160000000.0
GRMN,2021-07-23,29640000000.0
GRMN,2021-10-22,31760000000.0
GRMN,2022-02-11,23760000000.0
GRMN,2022-04-22,21340000000.0
GRMN,2022-07-22,20240000000.0
GRMN,2022-10-21,15860000000.0
GRMN,2023-02-17,18560000000.0
GRMN,2023-04-28,18780000000.0
GRMN,2023-07-28,20040000000.0
GRMN,2023-10-27,19080000000.0
GRMN,2024-02-16,23440000000.0
GRMN,2024-04-26,27550000000.0
GRMN,2024-07-26,34200000000.000004
GRMN,2024-10-25,31170000000.0
