Company,Date,Market Cap
GS,2013-04-26,66080000000.0
GS,2013-07-26,74220000000.0
GS,2013-10-25,73460000000.0
GS,2014-02-14,74120000000.0
GS,2014-04-25,70760000000.0
GS,2014-07-25,77280000000.0
GS,2014-10-17,77050000000.0
GS,2015-02-06,79910000000.0
GS,2015-04-17,85260000000.0
GS,2015-07-17,91970000000.0
GS,2015-10-16,78990000000.0
GS,2016-02-05,66090000000.0
GS,2016-04-22,69270000000.0
GS,2016-07-22,65040000000.00001
GS,2016-10-21,69460000000.0
GS,2017-02-10,96690000000.0
GS,2017-04-21,85360000000.0
GS,2017-07-21,85180000000.0
GS,2017-10-20,92310000000.0
GS,2018-02-09,94710000000.0
GS,2018-04-20,95170000000.0
GS,2018-07-20,87480000000.0
GS,2018-10-19,84420000000.0
GS,2019-02-08,70590000000.0
GS,2019-04-18,75330000000.0
GS,2019-07-19,76770000000.0
GS,2019-07-15,39680000000.0
GS,2019-10-18,73130000000.0
GS,2020-02-07,82270000000.0
GS,2020-04-17,63100000000.0
GS,2020-07-24,69320000000.0
GS,2020-10-16,70950000000.0
GS,2021-02-05,101490000000.0
GS,2021-04-16,116300000000.0
GS,2021-07-23,126090000000.0
GS,2021-10-15,135949999999.99998
GS,2022-02-11,122690000000.0
GS,2022-04-14,110470000000.0
GS,2022-07-22,110580000000.0
GS,2022-10-21,110090000000.0
GS,2023-02-10,124540000000.0
GS,2023-04-21,113580000000.0
GS,2023-07-21,116030000000.0
GS,2023-10-20,97850000000.0
GS,2024-02-09,125100000000.0
GS,2024-04-19,130280000000.0
GS,2024-07-19,153140000000.0
GS,2024-10-18,165900000000.0
