Company,Date,Market Cap
HAL,2010-02-12,27170000000.0
HAL,2010-04-16,28640000000.0
HAL,2010-07-16,24960000000.0
HAL,2010-10-15,32580000000.0
HAL,2011-02-11,40770000000.0
HAL,2011-04-15,42840000000.0
HAL,2011-07-15,48810000000.0
HAL,2011-10-14,34440000000.0
HAL,2012-02-10,33280000000.0
HAL,2012-04-20,30730000000.0
HAL,2012-07-20,28550000000.0
HAL,2012-10-19,32460000000.0
HAL,2013-02-01,38280000000.0
HAL,2013-04-19,34680000000.0
HAL,2013-07-19,41870000000.0
HAL,2013-10-18,44510000000.0
HAL,2014-01-31,41700000000.0
HAL,2014-04-18,51430000000.0
HAL,2014-07-18,60330000000.0
HAL,2014-10-17,44580000000.0
HAL,2015-02-17,38120000000.0
HAL,2015-04-17,39900000000.0
HAL,2015-07-17,34180000000.0
HAL,2015-10-16,32360000000.0
HAL,2016-01-29,27290000000.0
HAL,2016-04-29,35500000000.0
HAL,2016-07-25,36630000000.0
HAL,2016-10-21,41870000000.0
HAL,2017-01-31,49040000000.0
HAL,2017-04-21,40840000000.0
HAL,2017-07-21,38680000000.0
HAL,2017-10-20,37810000000.0
HAL,2018-02-02,45660000000.0
HAL,2018-04-20,45520000000.0
HAL,2018-07-20,39770000000.0
HAL,2018-10-19,32890000000.0
HAL,2019-02-08,25910000000.0
HAL,2019-04-19,27210000000.0
HAL,2019-07-19,19050000000.0
HAL,2019-10-18,16180000000.0
HAL,2020-02-07,19180000000.0
HAL,2020-04-17,6650000000.0
HAL,2020-07-17,11490000000.0
HAL,2020-10-16,10830000000.0
HAL,2021-01-29,15670000000.0
HAL,2021-04-20,17630000000.0
HAL,2021-07-16,17860000000.0
HAL,2021-10-15,23280000000.0
HAL,2022-01-28,28180000000.0
HAL,2022-07-15,25270000000.0
HAL,2022-10-19,29020000000.0
HAL,2023-01-31,37270000000.0
HAL,2023-04-19,30770000000.0
HAL,2023-07-19,33259999999.999996
HAL,2023-10-18,38600000000.0
HAL,2024-01-30,32759999999.999996
HAL,2024-04-17,33680000000.0
HAL,2024-07-22,29480000000.0
HAL,2024-10-31,24370000000.0
