Company,Date,Market Cap
HBAN,2010-01-31,3430000000.0
HBAN,2010-04-30,4840000000.0
HBAN,2010-07-31,4340000000.0
HBAN,2010-09-30,4080000000.0
HBAN,2011-01-31,6250000000.0
HBAN,2011-03-31,5730000000.0
HBAN,2011-06-30,5660000000.0
HBAN,2011-09-30,4150000000.0000005
HBAN,2012-01-31,4940000000.0
HBAN,2012-03-31,5580000000.0
HBAN,2012-06-30,5490000000.0
HBAN,2012-09-30,5900000000.0
HBAN,2013-01-31,5860000000.0
HBAN,2013-03-31,6180000000.0
HBAN,2013-06-30,6530000000.0
HBAN,2013-10-31,7310000000.0
HBAN,2014-01-31,7540000000.0
HBAN,2014-03-31,8250000000.0
HBAN,2014-06-30,7790000000.0
HBAN,2014-09-30,7920000000.0
HBAN,2015-01-31,8119999999.999999
HBAN,2015-03-31,8930000000.0
HBAN,2015-06-30,9080000000.0
HBAN,2015-09-30,8439999999.999999
HBAN,2016-01-31,6820000000.0
HBAN,2016-03-31,7600000000.0
HBAN,2016-06-30,7140000000.0
HBAN,2016-09-30,10700000000.0
HBAN,2017-01-31,14690000000.0
HBAN,2017-03-31,14560000000.0
HBAN,2017-06-30,14740000000.0
HBAN,2017-09-30,15090000000.0
HBAN,2018-01-31,17350000000.0
HBAN,2018-03-31,16640000000.0
HBAN,2018-06-30,16300000000.0
HBAN,2018-09-30,15840000000.0
HBAN,2019-01-31,13860000000.0
HBAN,2019-03-31,13270000000.0
HBAN,2019-06-30,14340000000.0
HBAN,2019-09-30,14740000000.0
HBAN,2019-12-31,15370000000.0
HBAN,2020-03-31,8330000000.0
HBAN,2020-06-30,9200000000.0
HBAN,2020-09-30,9330000000.0
HBAN,2021-01-31,13460000000.0
HBAN,2021-03-31,16000000000.0
HBAN,2021-06-30,21070000000.0
HBAN,2021-09-30,22360000000.0
HBAN,2022-01-31,21660000000.0
HBAN,2022-03-31,21040000000.0
HBAN,2022-06-30,17350000000.0
HBAN,2022-09-30,19020000000.0
HBAN,2023-01-31,21890000000.0
HBAN,2023-03-31,16170000000.000002
HBAN,2023-06-30,15610000000.0
HBAN,2023-09-30,15060000000.0
HBAN,2024-03-31,20220000000.0
HBAN,2024-06-30,19140000000.0
HBAN,2024-09-30,21360000000.0
