Company,Date,Market Cap
HCA,2011-04-30,16910000000.0
HCA,2011-07-31,13800000000.0
HCA,2011-10-31,10240000000.0
HCA,2012-01-31,10700000000.0
HCA,2012-04-30,11810000000.0
HCA,2012-07-31,11670000000.0
HCA,2012-10-31,12540000000.0
HCA,2013-01-31,16700000000.0
HCA,2013-04-30,17790000000.0
HCA,2013-07-31,17440000000.0
HCA,2013-10-31,21110000000.0
HCA,2014-01-31,22140000000.0
HCA,2014-04-30,23120000000.0
HCA,2014-07-31,28240000000.0
HCA,2014-10-31,30370000000.0
HCA,2015-01-31,29780000000.0
HCA,2015-04-30,30660000000.0
HCA,2015-07-31,38620000000.0
HCA,2015-10-23,28120000000.0
HCA,2016-01-31,27620000000.0
HCA,2016-04-30,31530000000.0
HCA,2016-07-31,29200000000.0
HCA,2016-10-31,28670000000.0
HCA,2017-01-31,29720000000.0
HCA,2017-04-30,30900000000.0
HCA,2017-07-31,29020000000.0
HCA,2017-10-31,26780000000.0
HCA,2018-01-31,35400000000.0
HCA,2018-04-30,33439999999.999996
HCA,2018-07-31,42990000000.0
HCA,2018-10-31,45960000000.0
HCA,2019-01-31,47740000000.0
HCA,2019-04-30,43550000000.0
HCA,2019-07-31,45520000000.0
HCA,2019-10-31,45290000000.0
HCA,2020-01-31,46970000000.0
HCA,2020-04-30,37100000000.0
HCA,2020-07-28,41900000000.0
HCA,2020-10-26,45830000000.0
HCA,2021-01-31,55230000000.0
HCA,2021-04-26,66319999999.99999
HCA,2021-07-26,78680000000.0
HCA,2021-10-25,75210000000.0
HCA,2022-01-31,72880000000.0
HCA,2022-04-29,63400000000.0
HCA,2022-10-24,59470000000.0
HCA,2023-01-31,70650000000.0
HCA,2023-04-24,78770000000.0
HCA,2023-07-31,74200000000.0
HCA,2023-10-23,64489999999.99999
HCA,2024-04-30,81150000000.0
HCA,2024-07-22,83970000000.0
HCA,2024-10-28,90320000000.0
