Company,Date,Market Cap
HES,2010-03-31,20540000000.0
HES,2010-06-30,16530000000.000002
HES,2010-09-30,19420000000.0
HES,2010-12-31,25850000000.0
HES,2011-03-31,28950000000.0
HES,2011-06-30,25410000000.0
HES,2011-09-30,17830000000.0
HES,2011-12-31,19310000000.0
HES,2012-03-31,20140000000.0
HES,2012-06-30,14840000000.0
HES,2012-09-30,18350000000.0
HES,2012-12-31,18090000000.0
HES,2013-03-31,24580000000.0
HES,2013-06-30,22830000000.0
HES,2013-09-30,26110000000.0
HES,2013-12-31,27000000000.0
HES,2014-03-31,26040000000.0
HES,2014-06-30,30430000000.0
HES,2014-09-30,28200000000.0
HES,2014-12-31,21100000000.0
HES,2015-03-31,19500000000.0
HES,2015-06-30,19200000000.0
HES,2015-09-30,14320000000.0
HES,2016-02-19,13340000000.0
HES,2016-03-31,16680000000.0
HES,2016-06-30,19030000000.0
HES,2016-09-30,16980000000.0
HES,2017-03-31,15330000000.0
HES,2017-06-30,13940000000.0
HES,2017-09-30,14900000000.0
HES,2017-12-31,14960000000.0
HES,2018-03-31,15590000000.0
HES,2018-06-30,20050000000.0
HES,2018-09-30,21210000000.0
HES,2019-01-31,16360000000.0
HES,2019-03-31,18330000000.0
HES,2019-06-30,19360000000.0
HES,2019-09-30,18430000000.0
HES,2020-01-31,17270000000.0
HES,2020-03-31,10230000000.0
HES,2020-06-30,15910000000.0
HES,2020-09-30,12570000000.0
HES,2021-01-31,16570000000.0
HES,2021-03-31,21820000000.0
HES,2021-06-30,27040000000.0
HES,2021-09-30,24190000000.0
HES,2022-01-31,28590000000.0
HES,2022-03-31,33320000000.0
HES,2022-06-30,32799999999.999996
HES,2022-09-30,33600000000.0
HES,2023-01-31,45980000000.0
HES,2023-03-31,40640000000.0
HES,2023-06-30,41740000000.0
HES,2023-09-30,46990000000.0
HES,2024-03-31,47030000000.0
HES,2024-06-30,45450000000.0
HES,2024-09-30,41840000000.0
