Company,Date,Market Cap
HIG,2010-02-15,9010000000.0
HIG,2010-04-23,13130000000.0
HIG,2010-07-30,10400000000.0
HIG,2010-10-27,10910000000.0
HIG,2011-02-18,13700000000.0
HIG,2011-04-26,12250000000.0
HIG,2011-10-27,9040000000.0
HIG,2012-02-17,9530000000.0
HIG,2012-04-26,9160000000.0
HIG,2012-07-26,6960000000.0
HIG,2012-10-26,9470000000.0
HIG,2013-02-21,10350000000.0
HIG,2013-04-24,12660000000.0
HIG,2013-07-24,14200000000.0
HIG,2013-10-23,14810000000.0
HIG,2014-02-25,15350000000.0
HIG,2014-04-23,15630000000.0
HIG,2014-07-23,16059999999.999998
HIG,2014-10-22,15930000000.0
HIG,2015-02-24,17390000000.0
HIG,2015-04-22,17390000000.0
HIG,2015-07-22,19250000000.0
HIG,2015-10-21,19830000000.0
HIG,2016-02-24,16620000000.000002
HIG,2016-04-27,17700000000.0
HIG,2016-07-27,16910000000.0
HIG,2016-10-26,16410000000.0
HIG,2017-02-22,18020000000.0
HIG,2017-04-25,17540000000.0
HIG,2017-07-25,19650000000.0
HIG,2017-10-24,19580000000.0
HIG,2018-02-21,19260000000.0
HIG,2018-04-24,18350000000.0
HIG,2018-07-24,18780000000.0
HIG,2018-10-23,16510000000.000002
HIG,2019-02-20,17640000000.0
HIG,2019-04-29,18710000000.0
HIG,2019-07-29,20880000000.0
HIG,2019-11-01,20730000000.0
HIG,2020-02-19,20810000000.0
HIG,2020-04-27,13620000000.0
HIG,2020-07-28,14490000000.0
HIG,2020-10-27,13460000000.0
HIG,2021-02-18,17670000000.0
HIG,2021-04-26,24540000000.0
HIG,2021-07-27,21490000000.0
HIG,2021-10-27,24780000000.0
HIG,2022-02-17,23420000000.0
HIG,2022-04-27,23020000000.0
HIG,2022-07-27,20790000000.0
HIG,2022-10-26,22030000000.0
HIG,2023-02-23,24170000000.0
HIG,2023-04-26,21240000000.0
HIG,2023-07-26,23140000000.0
HIG,2023-10-25,21620000000.0
HIG,2024-02-22,28110000000.0
HIG,2024-04-24,29530000000.0
HIG,2024-07-24,29870000000.0
HIG,2024-10-23,34740000000.0
