Company,Date,Market Cap
HII,2011-05-09,1930000000.0
HII,2011-08-08,1460000000.0
HII,2011-11-04,1450000000.0
HII,2012-03-21,1860000000.0
HII,2012-05-01,1950000000.0
HII,2012-08-02,1890000000.0
HII,2012-11-05,2180000000.0
HII,2013-02-22,2230000000.0
HII,2013-05-03,2670000000.0
HII,2013-08-02,3150000000.0
HII,2013-11-04,3590000000.0
HII,2014-02-21,4780000000.0
HII,2014-05-02,5120000000.0
HII,2014-08-01,4390000000.0
HII,2014-10-31,5110000000.0
HII,2015-02-13,6040000000.0
HII,2015-05-01,6520000000.0
HII,2015-07-31,5610000000.0
HII,2015-10-30,5630000000.0
HII,2016-02-12,6150000000.0
HII,2016-04-29,6810000000.0
HII,2016-07-28,8070000000.0
HII,2016-10-28,7420000000.0
HII,2017-02-10,9220000000.0
HII,2017-04-28,9240000000.0
HII,2017-07-28,9340000000.0
HII,2017-11-02,10620000000.0
HII,2018-02-09,10310000000.0
HII,2018-04-27,10940000000.0
HII,2018-07-27,10040000000.0
HII,2018-11-02,9470000000.0
HII,2019-02-08,8690000000.0
HII,2019-04-26,9210000000.0
HII,2019-07-26,9670000000.0
HII,2013-06-19,2500000000.0
HII,2019-11-01,9420000000.0
HII,2020-02-07,10970000000.0
HII,2020-05-01,7510000000.0
HII,2020-07-31,7030000000.0
HII,2020-10-30,5970000000.0
HII,2021-02-05,6610000000.0
HII,2021-04-30,8539999999.999999
HII,2021-07-30,8230000000.0
HII,2021-10-29,8119999999.999999
HII,2022-02-04,7300000000.0
HII,2022-04-29,8520000000.0
HII,2022-07-29,8660000000.0
HII,2022-10-28,10270000000.0
HII,2023-02-03,8650000000.0
HII,2023-04-28,8039999999.999999
HII,2023-07-28,9190000000.0
HII,2023-10-27,8470000000.000001
HII,2024-01-26,10120000000.0
HII,2024-04-26,10920000000.0
HII,2024-07-26,10820000000.0
HII,2024-10-25,9930000000.0
HII,2025-01-31,7720000000.0
