Company,Date,Market Cap
HLT,2017-01-04,19140000000.0
HLT,2017-02-08,19210000000.0
HLT,2017-04-26,19920000000.0
HLT,2017-07-19,20140000000.0
HLT,2017-10-19,22750000000.0
HLT,2018-02-07,25930000000.0
HLT,2018-04-19,24630000000.0
HLT,2018-07-19,24490000000.0
HLT,2018-10-18,21370000000.0
HLT,2019-02-06,22130000000.0
HLT,2019-04-24,25470000000.0
HLT,2019-07-18,27850000000.0
HLT,2014-10-31,79870000.0
HLT,2019-10-17,26020000000.0
HLT,2020-02-06,31270000000.0
HLT,2020-04-30,20990000000.0
HLT,2020-07-31,20810000000.0
HLT,2020-10-29,24000000000.0
HLT,2021-02-10,30350000000.0
HLT,2021-04-28,35960000000.0
HLT,2021-07-21,34820000000.0
HLT,2021-10-20,39090000000.0
HLT,2022-02-09,42750000000.0
HLT,2022-04-26,42230000000.0
HLT,2022-07-20,33650000000.0
HLT,2022-10-21,35490000000.0
HLT,2023-02-03,39120000000.0
HLT,2023-04-21,39170000000.0
HLT,2023-07-21,39710000000.0
HLT,2023-10-20,37840000000.0
HLT,2024-02-02,49170000000.0
HLT,2024-04-19,48630000000.0
HLT,2024-08-02,50510000000.0
HLT,2024-10-18,58220000000.0
HLT,2025-01-31,61610000000.0
