Company,Date,Market Cap
HPE,2016-02-29,22780000000.0
HPE,2016-05-31,30690000000.0
HPE,2016-08-31,35780000000.0
HPE,2016-11-30,39620000000.0
HPE,2017-02-28,37830000000.0
HPE,2017-05-31,30900000000.0
HPE,2017-08-31,29250000000.0
HPE,2017-11-30,22230000000.0
HPE,2018-02-28,28870000000.0
HPE,2018-05-31,23070000000.0
HPE,2018-08-20,24610000000.0
HPE,2018-11-30,20980000000.0
HPE,2019-02-25,22970000000.0
HPE,2019-05-20,19750000000.0
HPE,2019-08-20,16890000000.0
HPE,2019-08-07,2610000.0
HPE,2019-11-30,20470000000.0
HPE,2020-02-28,16480000000.0
HPE,2020-05-28,12320000000.0
HPE,2020-08-31,12440000000.0
HPE,2020-12-07,15630000000.0
HPE,2021-02-26,18940000000.0
HPE,2021-05-28,20840000000.0
HPE,2021-08-30,20030000000.0
HPE,2021-12-07,20010000000.0
HPE,2022-02-25,20830000000.0
HPE,2022-05-30,20520000000.0
HPE,2022-08-26,17710000000.0
HPE,2022-12-02,21390000000.0
HPE,2023-05-26,19810000000.0
HPE,2023-08-24,21420000000.0
HPE,2023-12-11,21660000000.0
HPE,2024-02-27,19360000000.0
HPE,2024-05-28,23930000000.0
HPE,2024-08-29,24260000000.0
HPE,2024-12-09,30400000000.0
