Company,Date,Market Cap
HPQ,2010-02-28,119110000000.0
HPQ,2010-05-31,107410000000.0
HPQ,2010-08-31,87190000000.0
HPQ,2010-11-30,91840000000.0
HPQ,2011-02-28,94410000000.0
HPQ,2011-05-31,77530000000.0
HPQ,2011-08-31,51720000000.0
HPQ,2011-11-30,55450000000.0
HPQ,2012-02-29,50050000000.0
HPQ,2012-05-31,44720000000.0
HPQ,2012-08-31,33189999999.999996
HPQ,2012-11-30,25310000000.0
HPQ,2013-02-28,39150000000.0
HPQ,2013-05-31,47100000000.0
HPQ,2013-08-31,42930000000.0
HPQ,2013-11-30,52210000000.0
HPQ,2014-02-28,56630000000.0
HPQ,2014-05-31,62690000000.0
HPQ,2014-08-31,70920000000.0
HPQ,2014-11-30,71640000000.0
HPQ,2015-02-28,63320000000.0
HPQ,2015-05-31,60330000000.0
HPQ,2015-08-31,50460000000.0
HPQ,2015-11-30,22470000000.0
HPQ,2016-01-31,16870000000.000002
HPQ,2016-04-30,20990000000.0
HPQ,2016-07-31,23970000000.0
HPQ,2016-11-30,26260000000.0
HPQ,2017-01-31,25490000000.0
HPQ,2017-04-30,31680000000.0
HPQ,2017-07-31,31900000000.0
HPQ,2017-11-30,35290000000.0
HPQ,2018-01-31,38280000000.0
HPQ,2018-04-30,34610000000.0
HPQ,2018-07-31,36520000000.0
HPQ,2018-11-30,35730000000.0
HPQ,2019-01-31,33909999999.999996
HPQ,2019-04-30,30050000000.0
HPQ,2019-07-31,31180000000.0
HPQ,2019-11-30,29180000000.0
HPQ,2020-01-31,30560000000.0
HPQ,2020-04-30,22180000000.0
HPQ,2020-07-31,24150000000.0
HPQ,2020-11-30,28280000000.0
HPQ,2021-01-31,30490000000.0
HPQ,2021-04-30,40970000000.0
HPQ,2021-07-31,33270000000.000004
HPQ,2021-11-30,38200000000.0
HPQ,2022-01-31,38970000000.0
HPQ,2022-04-30,37880000000.0
HPQ,2022-07-31,33590000000.000004
HPQ,2022-11-30,29500000000.0
HPQ,2023-01-31,28710000000.0
HPQ,2023-04-30,29290000000.0
HPQ,2023-11-30,29070000000.0
HPQ,2024-01-31,28160000000.0
HPQ,2024-04-30,27490000000.0
HPQ,2024-07-31,34780000000.0
HPQ,2024-12-02,34180000000.0
