Company,Date,Market Cap
HRL,2010-02-28,5490000000.0
HRL,2010-05-30,5300000000.0
HRL,2010-08-29,5740000000.0
HRL,2010-12-03,6610000000.0
HRL,2011-02-15,6890000000.0
HRL,2011-03-06,7320000000.0
HRL,2011-06-05,7580000000.0
HRL,2011-09-04,7190000000.0
HRL,2011-12-02,7650000000.0
HRL,2012-03-04,7490000000.0
HRL,2012-06-03,7730000000.0
HRL,2012-11-30,8170000000.0
HRL,2013-03-03,9920000000.0
HRL,2013-11-29,11870000000.0
HRL,2014-08-31,13350000000.0
HRL,2014-11-28,13990000000.0
HRL,2015-05-31,15120000000.0
HRL,2015-08-30,16270000000.0
HRL,2015-11-27,19820000000.0
HRL,2016-02-10,22020000000.0
HRL,2016-02-28,22770000000.0
HRL,2016-05-29,18430000000.0
HRL,2016-08-28,20070000000.0
HRL,2016-12-02,17880000000.0
HRL,2017-03-05,18710000000.0
HRL,2017-06-04,18030000000.0
HRL,2017-09-08,16680000000.0
HRL,2017-12-01,19470000000.0
HRL,2018-03-04,17290000000.0
HRL,2018-06-03,18990000000.0
HRL,2018-11-30,24100000000.0
HRL,2019-03-03,23240000000.0
HRL,2019-11-26,23680000000.0
HRL,2019-11-29,23810000000.0
HRL,2020-06-01,26330000000.0
HRL,2020-08-30,27310000000.0
HRL,2020-11-29,25480000000.0
HRL,2021-02-28,25050000000.0
HRL,2021-05-30,26310000000.0
HRL,2021-08-29,24370000000.0
HRL,2021-12-05,23180000000.0
HRL,2022-03-06,28190000000.0
HRL,2022-05-29,26550000000.0
HRL,2022-08-28,27900000000.0
HRL,2022-12-04,26030000000.0
HRL,2023-02-26,24650000000.0
HRL,2023-05-29,21010000000.0
HRL,2023-08-27,21520000000.0
HRL,2023-12-03,17129999999.999998
HRL,2024-02-25,16710000000.0
HRL,2024-05-27,19250000000.0
