Company,Date,Market Cap
HSIC,2010-02-12,5090000000.0
HSIC,2010-04-23,5700000000.0
HSIC,2010-07-23,4810000000.0
HSIC,2010-10-22,5490000000.0
HSIC,2011-02-11,6190000000.0
HSIC,2011-04-25,6500000000.0
HSIC,2011-07-22,6740000000.0
HSIC,2011-10-21,5950000000.0
HSIC,2012-02-06,6550000000.0
HSIC,2012-04-25,6800000000.0
HSIC,2012-07-23,6750000000.0
HSIC,2012-10-29,6530000000.0
HSIC,2013-02-04,7630000000.0
HSIC,2013-04-26,7820000000.0
HSIC,2013-07-26,8930000000.0
HSIC,2013-10-25,9530000000.0
HSIC,2014-02-03,9420000000.0
HSIC,2014-04-28,9710000000.0
HSIC,2014-07-28,10040000000.0
HSIC,2014-10-29,10030000000.0
HSIC,2015-02-02,11630000000.0
HSIC,2015-04-27,11710000000.0
HSIC,2015-07-24,12260000000.0
HSIC,2015-10-26,12400000000.0
HSIC,2016-02-05,12120000000.0
HSIC,2016-04-28,13990000000.0
HSIC,2016-07-27,14640000000.0
HSIC,2016-10-24,12310000000.0
HSIC,2017-02-16,13250000000.0
HSIC,2017-05-03,13940000000.0
HSIC,2017-08-02,14170000000.0
HSIC,2017-09-15,13100000000.0
HSIC,2017-10-31,12340000000.0
HSIC,2018-02-15,10510000000.0
HSIC,2018-05-02,11800000000.0
HSIC,2018-07-30,12110000000.0
HSIC,2018-10-29,12380000000.0
HSIC,2019-02-04,11960000000.0
HSIC,2019-02-12,9240000000.0
HSIC,2019-04-29,9460000000.0
HSIC,2019-07-29,10110000000.0
HSIC,2019-10-28,9120000000.0
HSIC,2020-02-14,10340000000.0
HSIC,2020-04-27,7830000000.0
HSIC,2020-07-27,9570000000.0
HSIC,2020-10-26,9550000000.0
HSIC,2021-04-26,10320000000.0
HSIC,2021-07-26,10810000000.0
HSIC,2021-10-25,10570000000.0
HSIC,2022-02-07,10460000000.0
HSIC,2022-04-25,12150000000.0
HSIC,2022-07-25,10540000000.0
HSIC,2022-10-24,9530000000.0
HSIC,2023-02-07,11440000000.0
HSIC,2023-05-01,10790000000.0
HSIC,2023-11-13,8770000000.0
HSIC,2024-02-20,9720000000.0
HSIC,2024-04-29,9350000000.0
HSIC,2024-07-29,9060000000.0
HSIC,2024-09-28,9460000000.0
