Company,Date,Market Cap
HSY,2010-02-10,6220000000.0
HSY,2010-04-23,8109999999.999999
HSY,2010-07-23,7860000000.0
HSY,2010-10-22,8320000000.0
HSY,2011-02-09,8400000000.0
HSY,2011-04-22,9360000000.0
HSY,2011-07-22,9830000000.0
HSY,2011-10-21,9910000000.0
HSY,2012-02-08,9940000000.0
HSY,2012-04-20,10300000000.0
HSY,2012-07-20,11810000000.0
HSY,2012-10-19,11430000000.0
HSY,2013-02-06,13130000000.0
HSY,2013-04-19,14740000000.0
HSY,2013-07-19,15060000000.0
HSY,2013-10-18,15650000000.0
HSY,2014-02-07,16379999999.999998
HSY,2014-04-18,16309999999.999998
HSY,2014-07-18,15130000000.0
HSY,2014-10-17,14740000000.0
HSY,2015-02-06,16910000000.0
HSY,2015-04-24,14990000000.0
HSY,2015-07-31,14750000000.0
HSY,2015-10-23,14940000000.0
HSY,2016-02-05,13670000000.0
HSY,2016-04-22,13830000000.0
HSY,2016-07-22,16780000000.000002
HSY,2016-10-21,14460000000.0
HSY,2017-02-10,16340000000.0
HSY,2017-04-21,16340000000.0
HSY,2017-07-21,16149999999.999998
HSY,2017-10-20,16360000000.0
HSY,2018-02-16,15090000000.0
HSY,2018-04-20,13750000000.0
HSY,2018-07-20,13670000000.0
HSY,2018-10-19,15900000000.0
HSY,2019-02-15,16170000000.000002
HSY,2019-04-19,17330000000.0
HSY,2019-07-19,21630000000.0
HSY,2019-10-18,22700000000.0
HSY,2020-02-14,23750000000.0
HSY,2020-04-17,21590000000.0
HSY,2020-07-17,20110000000.0
HSY,2020-10-30,20280000000.0
HSY,2021-02-12,22190000000.0
HSY,2021-04-23,23630000000.0
HSY,2021-07-23,26070000000.0
HSY,2021-10-22,26480000000.0
HSY,2022-02-16,29510000000.0
HSY,2022-04-22,32720000000.0
HSY,2022-07-22,31710000000.0
HSY,2022-10-30,35270000000.0
HSY,2023-02-15,34890000000.0
HSY,2023-04-21,38420000000.0
HSY,2023-07-21,36960000000.0
HSY,2023-10-20,28620000000.0
HSY,2024-04-26,27480000000.0
HSY,2024-07-26,28580000000.0
HSY,2024-11-01,26480000000.0
