Company,Date,Market Cap
HWM,2019-11-01,12360000000.0
HWM,2020-02-21,14590000000.0
HWM,2020-05-01,5470000000.0
HWM,2020-08-03,6600000000.0
HWM,2020-11-05,8170000000.0
HWM,2021-02-12,12260000000.0
HWM,2021-05-03,13910000000.0
HWM,2021-08-02,14040000000.0
HWM,2021-11-01,13030000000.0
HWM,2022-02-10,14480000000.0
HWM,2022-04-29,14260000000.0
HWM,2022-08-01,15520000000.0
HWM,2022-10-27,14520000000.0
HWM,2023-02-10,16710000000.0
HWM,2023-07-28,20790000000.0
HWM,2023-10-31,18160000000.0
HWM,2024-02-09,24040000000.0
HWM,2024-04-29,27390000000.0
HWM,2024-07-26,33750000000.0
HWM,2024-11-04,40560000000.0
