Company,Date,Market Cap
IEX,2010-02-18,2530000000.0
IEX,2010-04-29,2810000000.0
IEX,2010-07-31,2620000000.0
IEX,2010-10-30,2950000000.0
IEX,2011-02-17,3460000000.0
IEX,2011-04-28,3860000000.0
IEX,2011-07-31,3450000000.0
IEX,2011-10-26,2970000000.0
IEX,2012-02-17,3580000000.0
IEX,2012-04-30,3640000000.0
IEX,2012-07-26,3010000000.0
IEX,2012-10-25,3490000000.0
IEX,2013-02-15,4160000000.0
IEX,2013-04-29,4240000000.0
IEX,2013-07-31,4880000000.0
IEX,2013-10-28,5540000000.0
IEX,2014-02-10,5700000000.0
IEX,2014-04-23,6000000000.0
IEX,2014-07-25,6330000000.0
IEX,2014-10-23,5820000000.0
IEX,2015-02-17,6000000000.0
IEX,2015-04-22,5930000000.0
IEX,2015-07-23,5910000000.0
IEX,2015-10-21,5720000000.0
IEX,2016-02-16,5560000000.0
IEX,2016-04-20,6350000000.0
IEX,2016-07-28,6780000000.0
IEX,2016-10-18,6620000000.0
IEX,2017-02-14,6970000000.0
IEX,2017-04-19,7170000000.0
IEX,2017-07-19,8740000000.0
IEX,2017-10-19,9520000000.0
IEX,2018-02-14,10340000000.0
IEX,2018-04-24,10620000000.0
IEX,2018-07-23,10540000000.0
IEX,2018-10-22,10240000000.0
IEX,2019-02-15,10920000000.0
IEX,2019-04-23,11820000000.0
IEX,2019-07-23,12660000000.0
IEX,2019-10-23,12090000000.0
IEX,2020-02-18,13330000000.0
IEX,2020-04-17,11510000000.0
IEX,2020-07-17,12800000000.0
IEX,2020-10-23,14510000000.0
IEX,2021-02-22,14970000000.0
IEX,2021-04-22,17079999999.999998
IEX,2021-07-23,17310000000.0
IEX,2021-10-22,16809999999.999998
IEX,2022-02-18,14410000000.0
IEX,2022-04-22,14550000000.0
IEX,2022-07-22,14550000000.0
IEX,2022-10-21,15380000000.0
IEX,2023-02-17,17440000000.0
IEX,2023-04-21,16460000000.0
IEX,2023-07-21,16079999999.999998
IEX,2023-10-20,14580000000.0
IEX,2024-02-16,17210000000.0
IEX,2024-04-19,17190000000.0
IEX,2024-07-26,15630000000.0
IEX,2024-10-25,15360000000.0
