Company,Date,Market Cap
IFF,2010-02-12,3300000000.0
IFF,2010-04-23,4110000000.0000005
IFF,2010-07-23,3710000000.0
IFF,2010-10-22,3980000000.0
IFF,2011-02-12,4530000000.0
IFF,2011-04-21,5100000000.0
IFF,2011-07-22,5110000000.0
IFF,2011-10-28,5090000000.0
IFF,2012-02-13,4560000000.0
IFF,2012-04-24,4790000000.0
IFF,2012-07-25,4390000000.0
IFF,2012-10-23,5190000000.0
IFF,2013-02-12,5980000000.0
IFF,2013-04-24,6260000000.0
IFF,2013-07-23,6450000000.0
IFF,2013-10-22,6730000000.0
IFF,2014-02-11,7200000000.0
IFF,2014-04-22,7790000000.0
IFF,2014-07-22,8449999999.999999
IFF,2014-10-24,7880000000.0
IFF,2015-02-12,9270000000.0
IFF,2015-04-28,9460000000.0
IFF,2015-07-28,9160000000.0
IFF,2015-10-26,9200000000.0
IFF,2016-02-15,8529999999.999999
IFF,2016-04-26,9600000000.0
IFF,2016-07-26,10700000000.0
IFF,2016-10-24,10370000000.0
IFF,2017-02-15,9420000000.0
IFF,2017-04-24,10900000000.0
IFF,2017-07-24,10470000000.0
IFF,2017-10-24,11770000000.0
IFF,2018-02-15,11370000000.0
IFF,2018-04-24,10920000000.0
IFF,2018-07-24,10160000000.0
IFF,2018-10-23,14900000000.0
IFF,2019-02-15,14080000000.0
IFF,2019-04-24,14540000000.0
IFF,2019-07-24,15580000000.0
IFF,2019-10-23,12820000000.0
IFF,2020-02-28,12790000000.0
IFF,2020-05-01,13530000000.0
IFF,2020-07-31,13470000000.0
IFF,2020-10-30,10980000000.0
IFF,2021-02-15,33340000000.000004
IFF,2021-05-03,35870000000.0
IFF,2021-07-29,37140000000.0
IFF,2021-11-01,36680000000.0
IFF,2022-02-21,34330000000.0
IFF,2022-05-02,30980000000.0
IFF,2022-08-01,31910000000.0
IFF,2022-10-31,24890000000.0
IFF,2023-02-21,23910000000.0
IFF,2023-05-03,24050000000.0
IFF,2023-08-02,21020000000.0
IFF,2023-11-01,17370000000.0
IFF,2024-02-21,19600000000.0
IFF,2024-04-29,21900000000.0
IFF,2024-07-31,25430000000.0
IFF,2024-10-29,25910000000.0
