Company,Date,Market Cap
INCY,2010-02-26,1290000000.0
INCY,2010-04-30,1630000000.0
INCY,2010-07-31,1590000000.0
INCY,2010-11-05,1980000000.0
INCY,2011-02-16,1810000000.0
INCY,2011-04-29,2300000000.0
INCY,2011-07-25,2340000000.0
INCY,2011-10-20,1710000000.0
INCY,2012-02-21,2150000000.0
INCY,2012-04-19,2420000000.0
INCY,2012-07-31,3270000000.0
INCY,2012-10-25,2160000000.0
INCY,2013-02-21,2810000000.0
INCY,2013-04-25,3090000000.0
INCY,2013-07-25,3580000000.0
INCY,2013-10-24,6420000000.0
INCY,2014-02-19,10210000000.0
INCY,2014-04-24,7930000000.0
INCY,2014-07-24,8080000000.0
INCY,2014-10-23,9280000000.0
INCY,2015-02-09,13020000000.0
INCY,2015-04-23,19310000000.0
INCY,2015-07-29,18720000000.0
INCY,2015-10-23,20460000000.0
INCY,2016-02-05,13290000000.0
INCY,2016-05-03,13530000000.0
INCY,2016-08-02,16719999999.999998
INCY,2016-10-25,16430000000.0
INCY,2017-02-07,22380000000.0
INCY,2017-04-27,25430000000.0
INCY,2017-07-25,27470000000.0
INCY,2017-10-25,24170000000.0
INCY,2018-02-08,17760000000.0
INCY,2018-04-24,13220000000.0
INCY,2018-07-24,14670000000.0
INCY,2018-10-23,13840000000.0
INCY,2019-02-07,17090000000.0
INCY,2019-04-23,16170000000.000002
INCY,2019-07-23,16879999999.999998
INCY,2019-10-22,16910000000.0
INCY,2020-02-06,16430000000.0
INCY,2020-04-28,21230000000.0
INCY,2020-07-28,22000000000.0
INCY,2020-10-29,19060000000.0
INCY,2021-02-02,20460000000.0
INCY,2021-04-27,18610000000.0
INCY,2021-07-27,16860000000.0
INCY,2021-10-26,14700000000.0
INCY,2022-02-01,16640000000.0
INCY,2022-04-26,16420000000.000002
INCY,2022-07-26,17760000000.0
INCY,2022-10-25,16110000000.0
INCY,2023-01-31,18980000000.0
INCY,2023-07-25,14290000000.0
INCY,2023-10-24,12310000000.0
INCY,2024-02-06,13390000000.0
INCY,2024-04-23,11600000000.0
INCY,2024-07-23,12670000000.0
INCY,2024-10-22,12640000000.0
