Company,Date,Market Cap
INTU,2010-02-22,10160000000.0
INTU,2010-05-24,10840000000.0
INTU,2010-08-31,13570000000.0
INTU,2010-11-30,13940000000.0
INTU,2011-02-22,15990000000.0
INTU,2011-05-23,16090000000.0
INTU,2011-08-31,14840000000.0
INTU,2011-11-23,14650000000.0
INTU,2012-02-22,17970000000.0
INTU,2012-05-18,16010000000.000002
INTU,2012-08-31,17290000000.0
INTU,2012-11-20,17220000000.0
INTU,2013-02-22,18610000000.0
INTU,2013-05-23,17450000000.0
INTU,2013-08-30,17960000000.0
INTU,2013-11-18,20910000000.0
INTU,2014-02-17,20310000000.0
INTU,2014-05-14,21290000000.0
INTU,2014-08-29,23750000000.0
INTU,2014-11-14,25890000000.0
INTU,2015-02-17,24930000000.0
INTU,2015-05-18,28210000000.0
INTU,2015-08-24,23360000000.0
INTU,2015-11-16,25580000000.0
INTU,2016-02-19,24960000000.0
INTU,2016-05-18,26280000000.0
INTU,2016-08-25,28370000000.0
INTU,2016-11-14,28230000000.0
INTU,2017-02-17,30660000000.0
INTU,2017-05-17,32119999999.999996
INTU,2017-08-25,35020000000.0
INTU,2017-11-14,39680000000.0
INTU,2018-02-16,43970000000.0
INTU,2018-05-16,48860000000.0
INTU,2018-08-24,56040000000.0
INTU,2018-11-14,54340000000.0
INTU,2019-02-15,60450000000.0
INTU,2019-05-17,63630000000.0
INTU,2019-08-23,72490000000.0
INTU,2019-11-15,69250000000.0
INTU,2020-02-18,79080000000.0
INTU,2020-05-15,74160000000.0
INTU,2020-08-24,87210000000.0
INTU,2020-11-13,93790000000.0
INTU,2021-02-16,115630000000.0
INTU,2021-05-19,115100000000.0
INTU,2021-08-31,154600000000.0
INTU,2021-11-12,177540000000.0
INTU,2022-02-18,136090000000.0
INTU,2022-05-18,99660000000.0
INTU,2022-08-26,126410000000.0
INTU,2022-11-21,105350000000.0
INTU,2023-02-16,114560000000.0
INTU,2023-05-16,118020000000.0
INTU,2023-08-25,145470000000.0
INTU,2023-11-20,158020000000.0
INTU,2024-02-15,185980000000.0
INTU,2024-05-16,182650000000.0
INTU,2024-08-27,175550000000.0
INTU,2024-11-14,196240000.0
