Company,Date,Market Cap
INVH,2017-02-01,6040000000.0
INVH,2017-03-30,6750000000.0
INVH,2017-05-11,6800000000.0
INVH,2017-08-09,6540000000.0
INVH,2017-11-08,7210000000.0
INVH,2018-03-22,11490000000.0
INVH,2018-05-10,12330000000.0
INVH,2018-08-07,12270000000.0
INVH,2018-10-31,11390000000.0
INVH,2019-02-25,11990000000.0
INVH,2019-05-03,13070000000.0
INVH,2019-07-29,14820000000.0
INVH,2019-06-30,2830000000.0
INVH,2019-10-29,16579999999.999998
INVH,2020-02-14,17640000000.0
INVH,2020-05-04,12390000000.0
INVH,2020-08-03,16629999999.999998
INVH,2020-10-26,16050000000.0
INVH,2021-02-15,17580000000.0
INVH,2021-04-26,19210000000.0
INVH,2021-07-28,23370000000.0
INVH,2021-10-26,24430000000.0
INVH,2022-02-18,23470000000.0
INVH,2022-04-25,26130000000.0
INVH,2022-07-25,22250000000.0
INVH,2022-10-25,20760000000.0
INVH,2023-02-20,19950000000.0
INVH,2023-05-01,20450000000.0
INVH,2023-07-24,22130000000.0
INVH,2023-10-24,19040000000.0
INVH,2024-02-20,20050000000.0
INVH,2024-07-23,22350000000.0
INVH,2024-10-28,20560000000.0
