Company,Date,Market Cap
IR,2010-02-18,13910000000.0
IR,2010-04-30,16190000000.000002
IR,2010-07-30,16390000000.0
IR,2010-10-15,17810000000.0
IR,2011-02-11,25220000000.0
IR,2011-04-15,25500000000.0
IR,2011-07-15,27770000000.0
IR,2011-10-14,23710000000.0
IR,2012-02-10,21620000000.0
IR,2012-04-13,18340000000.0
IR,2012-07-13,16270000000.0
IR,2012-10-12,17320000000.0
IR,2013-02-01,20870000000.0
IR,2013-04-12,22430000000.0
IR,2013-07-12,22090000000.0
IR,2017-07-14,5600000000.0
IR,2017-10-13,6740000000.0
IR,2018-02-01,8760000000.0
IR,2018-04-13,7840000000.0
IR,2018-07-13,6910000000.0
IR,2018-10-12,6330000000.0
IR,2019-02-01,6000000000.0
IR,2019-04-19,6530000000.0
IR,2019-07-19,8100000000.0
IR,2019-10-18,7390000000.0
IR,2020-02-19,7730000000.0
IR,2020-05-13,10800000000.0
IR,2020-07-31,13170000000.0
IR,2020-10-30,14590000000.0
IR,2021-02-19,18380000000.0
IR,2021-04-23,21650000000.0
IR,2021-07-23,20420000000.0
IR,2021-10-29,21910000000.0
IR,2022-02-18,21650000000.0
IR,2022-04-29,17840000000.0
IR,2022-07-29,20080000000.0
IR,2022-10-28,20430000000.0
IR,2023-02-17,23320000000.0
IR,2023-04-28,23070000000.0
IR,2023-07-28,25960000000.0
IR,2023-10-27,24040000000.0
IR,2024-02-16,36100000000.0
IR,2024-04-26,37720000000.0
IR,2024-07-26,39820000000.0
IR,2024-10-25,38740000000.0
