Company,Date,Market Cap
IVZ,2010-01-31,8330000000.0
IVZ,2010-03-31,9560000000.0
IVZ,2010-06-30,7880000000.0
IVZ,2010-09-30,9810000000.0
IVZ,2011-01-31,11390000000.0
IVZ,2011-03-31,11810000000.0
IVZ,2011-06-30,10550000000.0
IVZ,2011-09-30,6990000000.0
IVZ,2012-01-31,10070000000.0
IVZ,2012-03-31,11950000000.0
IVZ,2012-06-30,10060000000.0
IVZ,2012-09-30,11100000000.0
IVZ,2013-01-31,12020000000.0
IVZ,2013-03-31,12880000000.0
IVZ,2013-06-30,14080000000.0
IVZ,2013-10-31,14960000000.0
IVZ,2014-01-31,14400000000.0
IVZ,2014-03-31,16010000000.000002
IVZ,2014-06-30,16290000000.0
IVZ,2014-09-30,17010000000.000002
IVZ,2015-01-31,15770000000.0
IVZ,2015-03-31,17090000000.0
IVZ,2015-06-30,16070000000.0
IVZ,2015-09-30,13240000000.0
IVZ,2016-01-31,12460000000.0
IVZ,2016-03-31,12840000000.0
IVZ,2016-06-30,10470000000.0
IVZ,2016-09-30,12770000000.0
IVZ,2017-01-31,11680000000.0
IVZ,2017-03-31,12460000000.0
IVZ,2017-06-30,14320000000.0
IVZ,2017-09-30,14260000000.0
IVZ,2018-01-31,14710000000.0
IVZ,2018-03-31,13150000000.0
IVZ,2018-06-30,10910000000.0
IVZ,2018-09-30,9410000000.0
IVZ,2019-01-31,7230000000.0
IVZ,2019-03-31,7740000000.0
IVZ,2019-06-30,9610000000.0
IVZ,2019-09-30,7690000000.0
IVZ,2020-01-31,7840000000.0
IVZ,2020-03-31,4170000000.0
IVZ,2020-06-30,4940000000.0
IVZ,2020-09-30,5240000000.0
IVZ,2021-01-31,9450000000.0
IVZ,2021-03-31,11640000000.0
IVZ,2021-06-30,12330000000.0
IVZ,2021-09-30,11120000000.0
IVZ,2022-01-31,10440000000.0
IVZ,2022-03-31,10490000000.0
IVZ,2022-06-30,7340000000.0
IVZ,2022-09-30,6230000000.0
IVZ,2023-01-31,8420000000.0
IVZ,2023-03-31,7510000000.0
IVZ,2023-06-30,7540000000.0
IVZ,2023-09-30,6530000000.0
IVZ,2024-01-31,7110000000.0
IVZ,2024-03-31,7460000000.0
IVZ,2024-06-30,6730000000.0
IVZ,2024-09-30,7890000000.0
