Company,Date,Market Cap
JBL,2010-03-24,3600000000.0
JBL,2010-06-24,3130000000.0
JBL,2010-10-11,3170000000.0
JBL,2011-01-03,4550000000.0
JBL,2011-03-30,4630000000.0
JBL,2011-06-22,4250000000.0
JBL,2011-10-06,3930000000.0
JBL,2011-12-21,4059999999.9999995
JBL,2012-03-27,5280000000.0
JBL,2012-06-21,4120000000.0
JBL,2012-10-04,3710000000.0
JBL,2013-01-02,3960000000.0
JBL,2013-03-27,3720000000.0
JBL,2013-06-21,4099999999.9999995
JBL,2013-10-08,4430000000.0
JBL,2014-01-06,3500000000.0
JBL,2014-03-27,3580000000.0
JBL,2014-06-21,4090000000.0
JBL,2014-10-07,3770000000.0
JBL,2014-12-29,4260000000.0
JBL,2015-03-27,4440000000.0
JBL,2015-06-16,4770000000.0
JBL,2015-10-06,4200000000.0
JBL,2015-12-28,4510000000.0
JBL,2016-03-28,3620000000.0
JBL,2016-06-23,3800000000.0
JBL,2016-10-06,4090000000.0
JBL,2016-12-26,4390000000.0
JBL,2017-03-27,5250000000.0
JBL,2017-06-21,5220000000.0
JBL,2017-10-10,5050000000.0
JBL,2018-03-28,4840000000.0
JBL,2018-06-20,4570000000.0
JBL,2018-10-09,4000000000.0
JBL,2019-01-03,3580000000.0
JBL,2019-03-28,4050000000.0
JBL,2019-06-21,4650000000.0
JBL,2017-07-28,642670000.0
JBL,2019-10-14,5440000000.0
JBL,2020-03-24,3320000000.0
JBL,2020-06-24,4740000000.0
JBL,2020-10-14,5330000000.0
JBL,2020-12-31,6390000000.0
JBL,2021-03-23,7210000000.0
JBL,2021-06-24,8390000000.000001
JBL,2021-10-14,9030000000.0
JBL,2021-12-31,10090000000.0
JBL,2022-03-22,8720000000.0
JBL,2022-06-21,7490000000.0
JBL,2022-10-17,8180000000.0
JBL,2022-12-30,9090000000.0
JBL,2023-03-29,11230000000.0
JBL,2023-06-22,13590000000.0
JBL,2023-10-12,17800000000.0
JBL,2024-01-02,16340000000.0
JBL,2024-03-28,16149999999.999998
JBL,2024-07-02,12310000000.0
JBL,2024-10-21,14030000000.0
JBL,2025-01-02,15590000000.0
