Company,Date,Market Cap
JCI,2016-10-31,37770000000.0
JCI,2016-12-31,38660000000.0
JCI,2017-03-31,39510000000.0
JCI,2017-06-30,40430000000.0
JCI,2017-10-31,38300000000.0
JCI,2017-12-31,35290000000.0
JCI,2018-03-31,32640000000.0
JCI,2018-06-30,30940000000.0
JCI,2018-10-31,29540000000.0
JCI,2018-12-31,27060000000.0
JCI,2019-03-31,33170000000.0
JCI,2019-06-30,32869999999.999996
JCI,2019-10-31,33430000000.0
JCI,2019-12-31,31100000000.0
JCI,2020-03-31,20050000000.0
JCI,2020-06-30,25400000000.0
JCI,2020-10-31,30560000000.0
JCI,2020-12-31,33560000000.000004
JCI,2021-03-31,42770000000.0
JCI,2021-06-30,48880000000.0
JCI,2021-10-31,51680000000.0
JCI,2021-12-31,57140000000.0
JCI,2022-03-31,45620000000.0
JCI,2022-06-30,32979999999.999996
JCI,2022-10-31,39720000000.0
JCI,2022-12-31,43980000000.0
JCI,2023-03-31,41320000000.0
JCI,2023-06-30,46360000000.0
JCI,2023-11-30,35940000000.0
JCI,2023-12-31,39280000000.0
JCI,2024-03-31,44000000000.0
JCI,2024-06-30,44400000000.0
JCI,2024-10-31,50030000000.0
JCI,2024-12-31,52140000000.0
