Company,Date,Market Cap
JPM,2010-01-31,154710000000.0
JPM,2010-04-30,169410000000.0
JPM,2010-07-31,159720000000.0
JPM,2010-10-31,147100000000.0
JPM,2011-01-31,179020000000.0
JPM,2011-04-30,181320000000.0
JPM,2011-07-31,157720000000.0
JPM,2011-10-31,132080000000.00002
JPM,2012-04-30,163610000000.0
JPM,2012-07-31,136759999999.99998
JPM,2012-10-31,158440000000.0
JPM,2013-04-30,185240000000.0
JPM,2013-09-30,194310000000.0
JPM,2014-01-31,209640000000.0
JPM,2014-03-31,229770000000.0
JPM,2014-06-30,216730000000.0
JPM,2014-09-30,225190000000.0
JPM,2015-01-31,202750000000.0
JPM,2015-03-31,224820000000.0
JPM,2015-06-30,250580000000.0
JPM,2015-09-30,224440000000.0
JPM,2016-01-31,218380000000.0
JPM,2016-03-31,216550000000.0
JPM,2016-06-30,224450000000.0
JPM,2016-09-30,238280000000.0
JPM,2017-01-31,302300000000.0
JPM,2017-03-31,312080000000.0
JPM,2017-06-30,321630000000.0
JPM,2017-09-30,331390000000.0
JPM,2018-01-31,396970000000.0
JPM,2018-03-31,374420000000.0
JPM,2018-06-30,350200000000.0
JPM,2018-09-30,375240000000.0
JPM,2019-01-31,338880000000.0
JPM,2019-03-31,328390000000.0
JPM,2019-06-30,357480000000.0
JPM,2019-09-30,369130000000.0
JPM,2020-01-31,406870000000.0
JPM,2020-03-31,274320000000.0
JPM,2020-06-30,286660000000.0
JPM,2020-09-30,293450000000.0
JPM,2021-01-31,392640000000.0
JPM,2021-03-31,460820000000.0
JPM,2021-06-30,464780000000.0
JPM,2022-01-31,438790000000.0
JPM,2022-03-31,400380000000.0
JPM,2022-06-30,330240000000.0
JPM,2022-09-30,306520000000.0
JPM,2023-01-31,411950000000.0
JPM,2023-03-31,380800000000.0
JPM,2023-06-30,422660000000.0
JPM,2023-09-30,419250000000.0
JPM,2024-03-31,575200000000.0
JPM,2024-06-30,575460000000.0
JPM,2024-09-30,593640000000.0
