Company,Date,Market Cap
KDP,2018-04-23,21600000000.0
KDP,2018-08-03,33390000000.0
KDP,2018-08-06,33229999999.999996
KDP,2018-11-06,37800000000.0
KDP,2019-02-26,37330000000.0
KDP,2019-05-07,40880000000.0
KDP,2019-08-06,39180000000.0
KDP,2019-11-05,39430000000.0
KDP,2020-02-26,40420000000.0
KDP,2020-04-28,38150000000.0
KDP,2020-07-28,43470000000.0
KDP,2020-09-21,39220000000.0
KDP,2020-10-27,40250000000.0
KDP,2021-02-23,44740000000.0
KDP,2021-04-27,50330000000.0
KDP,2021-07-27,50330000000.0
KDP,2021-10-26,49030000000.0
KDP,2022-02-22,54700000000.0
KDP,2022-04-26,52560000000.0
KDP,2022-07-26,52490000000.0
KDP,2022-10-25,54600000000.0
KDP,2023-02-21,50000000000.0
KDP,2023-04-25,50380000000.0
KDP,2023-07-25,45160000000.0
KDP,2023-10-24,40710000000.0
KDP,2024-02-20,43330000000.0
KDP,2024-04-23,43050000000.0
KDP,2024-07-23,44250000000.0
KDP,2024-10-22,50080000000.0
